cellosaurus_id,cell_line_name,tissue
CVCL_6774,DOV13,Ovary
CVCL_6805,WM88,Skin
CVCL_6809,WM983B,Skin
CVCL_6831,NCI-H3255,Lung
CVCL_8067,T3M-10,Lung
CVCL_8147,L3.3,Pancreas
CVCL_8784,K029AX,Skin
CVCL_8787,WM793,Skin
CVCL_8795,OCI-Ly10,Lymph
CVCL_8878,HEY A8,Ovary
CVCL_A341,WM1799,Skin
CVCL_A472,NCI-H1339,Lung
CVCL_E063,TEN,Uterus
CVCL_K085,SF8657,Skin
CVCL_1097,C32 [Human melanoma],Skin
