dataset,kind,r
depmap,across,0.9515868340422168
depmap,across,0.788490966388081
depmap,across,0.7938562628295031
depmap,across,0.9490014087193365
depmap,across,0.9422316322244221
depmap,across,0.8227942975288219
depmap,across,0.9123185341643743
depmap,across,0.9475904490516137
depmap,across,0.8779898802797732
depmap,across,0.9007012720867857
depmap,across,0.9048508715926862
depmap,across,0.9376534460083891
depmap,across,0.8782088905525147
depmap,across,0.9490081168621718
depmap,across,0.9089486233549596
depmap,across,0.9391635121244589
depmap,across,0.9738026922406651
depmap,across,0.8071001630189389
depmap,across,0.8163545019424272
depmap,across,0.9636915805410241
depmap,across,0.9797935177016386
depmap,across,0.8342951643464332
depmap,across,0.9093941746449116
depmap,across,0.954547700490657
depmap,across,0.8926563637974582
depmap,across,0.9080148046041424
depmap,across,0.9149545262464119
depmap,across,0.9571919411079378
depmap,across,0.8373010272452986
depmap,across,0.905995996488216
depmap,across,0.9185184736279591
depmap,across,0.9146187578577122
depmap,across,0.7844703611421247
depmap,across,0.7987444287704631
depmap,across,0.9201494352538765
depmap,across,0.8687386285794201
depmap,across,0.8974302177114759
depmap,across,0.9263862221103207
depmap,across,0.8585024781128667
depmap,across,0.9486264867251656
depmap,across,0.9517755834876247
depmap,across,0.9254119600165072
depmap,across,0.9103692346874246
depmap,across,0.8786401592816874
depmap,across,0.886574440661336
depmap,across,0.9149472543254559
depmap,across,0.7311308257249843
depmap,across,0.7464373440431015
depmap,across,0.9213811824412002
depmap,across,0.9376501091260604
depmap,across,0.7639751196188804
depmap,across,0.887699401880672
depmap,across,0.9514740628699593
depmap,across,0.8567857215901014
depmap,across,0.8593783508328573
depmap,across,0.896114068529618
depmap,across,0.9048027045996292
depmap,across,0.9553687067829664
depmap,across,0.9314221903266225
depmap,across,0.7661751445342413
depmap,across,0.7768993324601142
depmap,across,0.9554461935736134
depmap,across,0.9107821899402391
depmap,across,0.8257834408521504
depmap,across,0.9456432820609155
depmap,across,0.8738662964754756
depmap,across,0.896407184016789
depmap,across,0.926150107888672
depmap,across,0.9393683532751117
depmap,across,0.9464532181440906
depmap,across,0.9600939308717686
depmap,across,0.7869580400882825
depmap,across,0.8028308785300663
depmap,across,0.9679975348479067
depmap,across,0.9298863755856984
depmap,across,0.8677226466994964
depmap,across,0.9375011893731212
depmap,across,0.8909841865023457
depmap,across,0.916284604428812
depmap,across,0.9496700542727767
depmap,across,0.9404589562085464
depmap,across,0.9597523470874898
depmap,across,0.8443188053649199
depmap,across,0.850804370052006
depmap,across,0.9778741143272502
depmap,across,0.9611458441920975
depmap,across,0.8951633061669627
depmap,across,0.9341096520355231
depmap,across,0.938791175094768
depmap,across,0.9137108605522342
depmap,across,0.9476564884388965
depmap,across,0.9431496006421053
depmap,across,0.9697669310108331
depmap,across,0.94443661154835
depmap,across,0.816657828786917
depmap,across,0.7802898448990166
depmap,across,0.8243841381815816
depmap,across,0.7709234693103785
depmap,across,0.7743256999074295
depmap,across,0.7836853923070376
depmap,across,0.8262582376611624
depmap,across,0.7866456566618647
depmap,across,0.8179525864829641
depmap,across,0.8325598901871866
depmap,across,0.7939136325615375
depmap,across,0.8244139849560227
depmap,across,0.7868172221872212
depmap,across,0.7874701326148899
depmap,across,0.8014645090077145
depmap,across,0.8392052744905251
depmap,across,0.8037866889264497
depmap,across,0.8290992712554863
depmap,across,0.9545995464635718
depmap,across,0.8758366967467927
depmap,across,0.9431863156482857
depmap,across,0.926466437277436
depmap,across,0.9177899029303965
depmap,across,0.9539379290862344
depmap,across,0.9521552014217936
depmap,across,0.9868122975409815
depmap,across,0.8040016360573179
depmap,across,0.9090557641187401
depmap,across,0.943222769596
depmap,across,0.8886073745102626
depmap,across,0.8919096835462575
depmap,across,0.9210214548825183
depmap,across,0.9364901575995225
depmap,across,0.8533856540573433
depmap,across,0.8040115462724593
depmap,across,0.8619086244173707
depmap,across,0.9295288449918215
depmap,across,0.8600869058342004
depmap,across,0.8727493777805645
depmap,across,0.8788839302601896
depmap,across,0.909470326543578
depmap,across,0.9444159954452989
depmap,across,0.9527317285631833
depmap,across,0.9289650124841876
depmap,across,0.8572264368899787
depmap,across,0.8664692815049557
depmap,across,0.8901760961752239
depmap,across,0.9207180463492662
depmap,across,0.9302084649425605
depmap,across,0.9219618535508085
depmap,across,0.9028778480596754
depmap,across,0.9524797410085344
depmap,across,0.9443012950566738
depmap,across,0.9342907622981137
ctrpv2,within,0.9838996867053116
ctrpv2,within,0.9792714151255281
ctrpv2,within,0.9803980443171387
ctrpv2,within,0.981275493153675
ctrpv2,within,0.9704947993770763
ctrpv2,within,0.9781672638394586
ctrpv2,within,0.9754299069686002
ctrpv2,within,0.9707261810648571
ctrpv2,within,0.969542290262857
ctrpv2,within,0.9688366363394404
ctrpv2,within,0.9851010156548905
ctrpv2,within,0.9812010065287285
ctrpv2,within,0.9757294254214753
ctrpv2,within,0.9772069418586838
ctrpv2,within,0.9767670332371742
ctrpv2,within,0.9815293697589308
ctrpv2,within,0.9798633476109124
ctrpv2,within,0.9779180411106144
ctrpv2,within,0.9780183784603295
ctrpv2,within,0.9823913291546325
ctrpv2,within,0.9939368016282557
ctrpv2,within,0.9963311315210656
ctrpv2,within,0.994650406433474
ctrpv2,within,0.9957683635752633
ctrpv2,within,0.9951865375739861
ctrpv2,within,0.9927033368617515
ctrpv2,within,0.9942978799195402
ctrpv2,within,0.994874245057643
ctrpv2,within,0.9936818692982828
ctrpv2,within,0.9939856083497012
ctrpv2,within,0.9956766825454404
ctrpv2,within,0.9903508655673056
ctrpv2,within,0.9922266115973654
ctrpv2,within,0.9933339487681374
ctrpv2,within,0.9916623718194595
ctrpv2,within,0.9879126356434643
ctrpv2,within,0.994877656476594
ctrpv2,within,0.9963540244191432
ctrpv2,within,0.992219907935983
ctrpv2,within,0.9948177809891409
ctrpv2,within,0.9760858761907971
ctrpv2,within,0.9759544563894662
ctrpv2,within,0.9450523218971191
ctrpv2,within,0.9518506871881639
ctrpv2,within,0.9716716026628303
ctrpv2,within,0.9581044998774618
ctrpv2,within,0.9746308081698358
ctrpv2,within,0.9744745727120133
ctrpv2,within,0.9641210056913109
ctrpv2,within,0.9695385224043652
ctrpv2,within,0.9360586417697155
ctrpv2,within,0.9753132628974225
ctrpv2,within,0.9734078584154613
