dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
depmap,ACO2,0.15685318930633213,2.9242482163659234e-23,1076,29,True,5.848496432731847e-21,True
depmap,GUK1,0.0568932224946166,0.002377878955476763,1076,29,True,0.47557579109535264,False
depmap,RPL23A,0.08429748166716916,0.17439531864023586,276,21,False,1.0,False
depmap,DHFR,0.20352461699776608,1.080723425441911e-27,1021,29,True,2.161446850883822e-25,True
depmap,EP300,0.2521996364598009,2.110825623861806e-28,1076,29,True,4.221651247723612e-26,True
depmap,CDK1,0.11679096879179723,9.279358146430695e-12,1076,29,True,1.855871629286139e-09,True
depmap,SRSF3,0.07565081380411154,2.6163259681154587e-05,1076,29,True,0.005232651936230917,True
depmap,TIMM10,0.08350358789291434,2.049256848381206e-07,1076,29,True,4.098513696762412e-05,True
depmap,PGK1,0.10321633074691028,1.501632488921703e-11,1076,29,True,3.0032649778434062e-09,True
depmap,PKMYT1,0.08614825944813392,3.844650780476906e-11,1076,29,True,7.689301560953811e-09,True
depmap,UBE2N,0.10197551377754172,1.425055725217647e-14,1076,29,True,2.8501114504352936e-12,True
depmap,TSC2,0.15804985381924205,2.5271555741746197e-20,1076,29,True,5.054311148349239e-18,True
depmap,PPP1R15B,0.1286243109591532,1.595593686096721e-13,1076,29,True,3.1911873721934415e-11,True
depmap,KEAP1,0.08801608088690738,3.5034337079166625e-10,1076,29,True,7.006867415833325e-08,True
depmap,CENPW,0.04656323312607574,0.010645970154717261,1076,29,True,1.0,False
depmap,NAPG,0.04486184144379361,0.021223029061016568,1076,29,True,1.0,False
depmap,PSMA3,0.07909552972673561,1.9294292608681837e-06,1076,29,True,0.00038588585217363676,True
depmap,WDR73,0.08206093506693736,1.0816208005195053e-10,1076,29,True,2.1632416010390105e-08,True
depmap,RRN3,0.09579087624678194,0.5572745891938973,276,21,False,1.0,False
depmap,MRPL57,0.057821489377694706,5.775253012926754e-05,1076,29,True,0.011550506025853509,True
depmap,MMS22L,0.03653369540368279,0.08156698514149287,1076,29,False,1.0,False
depmap,DBR1,0.03606360825670324,0.1150722413172797,1076,29,False,1.0,False
depmap,SNRPF,0.07664090592013781,4.300772161240189e-06,1076,29,True,0.0008601544322480378,True
depmap,MAGOH,0.06457546521412068,5.295613492983747e-07,1076,29,True,0.00010591226985967494,True
depmap,SEPSECS,0.18114780155642773,2.396382131908683e-24,1076,29,True,4.792764263817366e-22,True
depmap,ANKLE2,0.026653682029572384,0.4253023638330153,1076,29,False,1.0,False
depmap,GPN2,0.07263267309882471,3.870200996411271e-06,1076,29,True,0.0007740401992822543,True
depmap,WEE1,0.04808116291193512,0.0008659118451203092,1076,29,True,0.17318236902406184,False
depmap,UBE2D3,0.05792301160516242,0.0004037130953191496,1076,29,True,0.08074261906382992,False
depmap,CBFB,0.39379563035186105,1.304650447202689e-33,1076,29,True,2.609300894405378e-31,True
depmap,TINF2,0.07159732764789441,2.6169601930302255e-06,1076,29,True,0.0005233920386060451,True
depmap,TRPM7,0.2511183423485049,1.9526200934842232e-41,1076,29,True,3.905240186968446e-39,True
