dataset,gene,eta2_X
depmap,PACSIN3,0.41003063063230744
depmap,PAF1,0.17416067913168895
depmap,PAFAH1B1,0.1465647380451678
depmap,PAFAH1B3,0.17826653326476485
depmap,PAICS,0.18923205256733058
depmap,PAK1,0.10012042184301914
depmap,PAK4,0.26015748212703377
depmap,PAK6,0.3443431426259311
depmap,PAN2,0.1573293346361565
depmap,PARP1,0.26730016252576494
depmap,PARP2,0.16865447365029695
depmap,PAX8,0.4222270466115823
depmap,PCBD1,0.38487070130694995
depmap,PCCB,0.15070884973917129
depmap,PCK2,0.15052659361756476
depmap,PCM1,0.26240696118422363
depmap,PCMT1,0.13280044094084967
depmap,PCNA,0.09180831549513188
depmap,PDCD2,0.12196936608071669
depmap,PDGFA,0.2622554698176414
depmap,PDHX,0.11193444675208214
depmap,PDIA5,0.18570966489759688
depmap,PDLIM1,0.24829647961125192
depmap,PDS5A,0.16745283469831124
depmap,PECR,0.19277291751919884
depmap,PELO,0.1838779539304877
depmap,PEX11A,0.29254826288185193
depmap,PFKL,0.19486583642870287
depmap,PFN1,0.1273635485994163
depmap,PGD,0.12331347190161576
depmap,PGK1,0.12363242457187126
depmap,PGM1,0.18731761521116017
depmap,PGR,0.1083193025043376
depmap,PHGDH,0.11941093586893796
depmap,PHKB,0.16178496449978477
depmap,PHKG2,0.1421303566371427
depmap,PIGB,0.21555196909819055
depmap,PIH1D1,0.12355836484711899
depmap,PIK3C2B,0.24302588987708712
depmap,PIK3C3,0.23608975212111993
depmap,PIK3CA,0.09308596267630344
depmap,PIK3R3,0.2153568087380628
depmap,PIK3R4,0.09467577997152284
depmap,PIN1,0.1421491368557452
depmap,PIP4K2B,0.24831568155997438
depmap,PKIG,0.23644087751526016
depmap,PKMYT1,0.1025683260087967
depmap,PLA2G15,0.17125309471546
depmap,PLA2G4A,0.15921966911905244
depmap,PLCB3,0.35116636638533444
depmap,PLEKHJ1,0.2014895272087747
depmap,PLEKHM1,0.10528932978368921
depmap,PLK1,0.10285237706062927
depmap,PLOD3,0.38474669197213046
depmap,PLS1,0.4379109166068216
depmap,PLSCR1,0.22049607308490013
depmap,PMAIP1,0.16952154566942046
depmap,PMM2,0.10920944864277146
depmap,PNKP,0.10617827198701293
depmap,PNP,0.27875057804957104
depmap,POLB,0.12642837558059264
depmap,POLE2,0.1590067580905139
depmap,POLG2,0.23707597716787332
depmap,POLR1C,0.12808606040718107
depmap,POLR2I,0.14321256393829696
depmap,POLR2K,0.07820193416069238
depmap,POLR2L,0.21210768375491823
depmap,POP4,0.13182102978179633
depmap,POP5,0.09693842667940274
depmap,PPARD,0.15257258620285888
depmap,PPARG,0.38407674289053406
depmap,PPIC,0.5028099010827359
depmap,PPIE,0.10210405350088927
depmap,PPOX,0.20569435433141087
depmap,PPP1R12A,0.15475193702663753
depmap,PPP1R13B,0.28527478184974925
depmap,PPP1R15B,0.12395489773404456
depmap,PPP2CA,0.11157442470786749
depmap,PPP2R1A,0.10160098371843793
depmap,PPP2R3C,0.22604839363767593
depmap,PPP2R5A,0.21828213768703467
depmap,PPP2R5E,0.15686101510593353
depmap,PPWD1,0.1422081077347665
depmap,PRCP,0.17826735690122966
depmap,PRKACA,0.20164072335848804
depmap,PRKAG2,0.3355295328006479
depmap,PRKCD,0.31855770834864333
depmap,PRKCQ,0.23397221314613725
depmap,PRKRA,0.13576748008612857
depmap,PROS1,0.31941868186096656
depmap,PRPF4,0.11752879998673631
depmap,PRR15L,0.44380776944230443
depmap,PRSS23,0.4225630455529189
depmap,PSIP1,0.19653216526600722
depmap,PSMA3,0.13073378315617715
depmap,PSMB5,0.3286312879161053
depmap,PSMB6,0.1709087069657154
depmap,PSMB8,0.2510117800379949
depmap,PSMD14,0.1431539482927126
depmap,PSMD4,0.13910015399010633
depmap,PSMD7,0.10295384045894937
depmap,PSME1,0.1827221741705918
depmap,PSMF1,0.11066481495340039
depmap,PSMG1,0.14290800838369014
depmap,PSMG4,0.07656453769448297
depmap,PSRC1,0.22794062506112706
depmap,PTGS2,0.18287326211531743
