dataset,confounder,arm,item,eta2,n
depmap,OncotreeLineage,expression,FZD1,0.26912926961050376,1065
depmap,OncotreeLineage,expression,FZD7,0.25649387695945314,1065
depmap,OncotreeLineage,expression,G3BP1,0.1324167826055523,1065
depmap,OncotreeLineage,expression,GAA,0.11526842160783715,1065
depmap,OncotreeLineage,expression,GABPB1,0.12540650133435846,1065
depmap,OncotreeLineage,expression,GADD45A,0.12240473312116834,1065
depmap,OncotreeLineage,expression,GADD45B,0.20837608542864047,1065
depmap,OncotreeLineage,expression,GALE,0.29604798063022936,1065
depmap,OncotreeLineage,expression,GAPDH,0.12320925779849655,1065
depmap,OncotreeLineage,expression,GARRE1,0.14049591798744607,1065
depmap,OncotreeLineage,expression,GATA2,0.3393808066777659,1065
depmap,OncotreeLineage,expression,GATA3,0.3411254567771266,1065
depmap,OncotreeLineage,expression,GDPD5,0.07479874651180007,1065
depmap,OncotreeLineage,expression,GET1,0.2311125298238151,1065
depmap,OncotreeLineage,expression,GFOD1,0.12618127471649676,1065
depmap,OncotreeLineage,expression,GFPT1,0.20940554173524176,1065
depmap,OncotreeLineage,expression,GFUS,0.19829309726088357,1065
depmap,OncotreeLineage,expression,GGPS1,0.07784401205647759,1065
depmap,OncotreeLineage,expression,GHR,0.24906161824699824,1065
depmap,OncotreeLineage,expression,GINS2,0.12089285868766413,1065
depmap,OncotreeLineage,expression,GLI2,0.26128405785666853,1065
depmap,OncotreeLineage,expression,GLOD4,0.09514691638759622,1065
depmap,OncotreeLineage,expression,GLRX,0.13459094583738002,1065
depmap,OncotreeLineage,expression,GMNN,0.09195110181049386,1065
depmap,OncotreeLineage,expression,GMPS,0.05122215789296592,1065
depmap,OncotreeLineage,expression,GNA11,0.5030733495308338,1065
depmap,OncotreeLineage,expression,GNA15,0.4254768428789239,1065
depmap,OncotreeLineage,expression,GNAI1,0.3027791425384753,1065
depmap,OncotreeLineage,expression,GNAI2,0.24678990965689104,1065
depmap,OncotreeLineage,expression,GNAS,0.1063052742514996,1065
