,eta2
MAP7,0.4519780689233829
MAPK1,0.07852934078390353
MAPK11,0.13133690007379034
MAPK13,0.3404715757809513
MAPK14,0.17220810915504275
MAPK1IP1L,0.16718647892669372
MAPK9,0.18980431572121453
MAPKAPK2,0.14073468721287344
MAPKAPK3,0.12220038278513959
MAPKAPK5,0.1746159535039243
MAPT,0.20558630957179794
MAST2,0.2652087663899263
MAT2A,0.13302031203782086
MBNL1,0.31941150981093086
MBNL2,0.32063985496761244
MBOAT7,0.290285452054107
MBTPS1,0.08914672431286684
MCL1,0.08810366071372565
MCM3,0.23709415530235878
MCOLN1,0.24661866323764534
MDM2,0.09068817201069677
ME2,0.3525075185148472
MEF2C,0.45427669136186516
MELK,0.11660093382318755
MEN1,0.1097880121418475
MEST,0.2720442399699566
MET,0.5796391609206784
MFSD10,0.0936589553433348
MGMT,0.19606690589356504
MIA,0.560152771514559
MICALL1,0.3126252320506163
MKI67,0.08314455640390346
MKNK1,0.09309406881165087
MLEC,0.2574614994115192
MLLT11,0.2890735433750366
MLPH,0.4493174304985988
MMP1,0.2347038500025857
MMP11,0.10591478932528367
MMP2,0.4444127296546871
MOK,0.3206454742478182
MPC2,0.24165375372931927
MPZL1,0.20847102342631885
MRPL19,0.15806570298308326
MRPS16,0.08618360270087722
MRPS2,0.06512330446791036
MSH6,0.22015354189737546
MSRA,0.17160773086407152
MTA1,0.19289926157214674
MTF2,0.21277417831422604
MTFR1,0.18840309884617723
MTHFD2,0.2688434230568251
MTOR,0.12906599684063336
MUC1,0.2957495121795502
MVP,0.29402009717341854
MYBL2,0.21044245776635379
MYC,0.36409564743898976
MYCBP,0.1096266975009737
MYCBP2,0.36699415519185924
MYL9,0.2700129837414391
MYLK,0.3799721510139497
MYO10,0.48129116186269405
NAE1,0.06523299440568715
NAMPT,0.17475857978541592
NAT1,0.14124859541106577
NCAPD2,0.09153084653499882
NCEH1,0.41774013620404354
NCK2,0.21934635697009539
NCOA3,0.17860327569951742
NCSTN,0.1656473343908509
NDC80,0.08456674073217806
NENF,0.20216491285999774
NET1,0.3192161662907271
NFATC3,0.3462062314138623
NFATC4,0.15364122385249718
NFE2L2,0.22793903884527741
NFIL3,0.1153916680883255
NFKB2,0.17449462050907635
NFKBIA,0.2037568798597887
NFKBIB,0.12706705183505973
NFKBIE,0.22118008978396092
NIPSNAP1,0.1470014682572079
NISCH,0.21857912826614742
NIT1,0.04668336262025214
NMT1,0.142911361614489
NNT,0.1626440969773588
NOL3,0.37956360120128974
NOLC1,0.17244419708973488
NOS3,0.14863589282186981
NOSIP,0.11341160344839853
NOTCH1,0.17653523644794233
NPC1,0.2330649192395615
NPDC1,0.3592641052082367
NPEPL1,0.1628814053883601
NPEPPS,0.1635249079714021
NPM1,0.07234967553888635
NPRL2,0.3352394584613702
NR0B2,0.13791212611368392
NR1D1,0.1710565674175786
NR1H2,0.16642028004934706
NR2F6,0.4004436420523954
NR3C1,0.4098969589008148
NRAS,0.13471133002733438
NRIP1,0.23719869015188955
NT5DC2,0.16388166643812935
NUCB2,0.26445309077350143
NUDCD3,0.1979612612817145
NUDT9,0.20785821476982597
NUF2,0.12257785760351918
NUP133,0.1100295096496013
NUP85,0.1135551376367244
NUP88,0.08237627351751046
NUP93,0.07625760438273126
NUSAP1,0.10812823489463805
NVL,0.20994673087780705
ORC1,0.23870835183417843
ORC6,0.108561731536725
OXA1L,0.17599389553798844
OXCT1,0.16889052722620312
OXSR1,0.13406201294767917
P2RX7,0.4688124058225072
P4HA2,0.5348553084724756
P4HTM,0.2718226957953894
PACSIN3,0.4668452238284071
PAF1,0.16966118145560963
PAFAH1B1,0.146282440225316
PAFAH1B3,0.21314651872972826
PAICS,0.15681391799488523
PAK1,0.08932090639054029
PAK4,0.45115627029175476
PAK6,0.33322454259784506
PAN2,0.1668956133676135
PARP1,0.3197446120001812
PARP2,0.13945106564988158
PAX8,0.49351412091886987
PCBD1,0.4897094886045025
PCCB,0.15268282153752272
PCK2,0.18016765063965107
PCM1,0.2735193387491115
PCMT1,0.10994012279381701
PCNA,0.10416819229134851
PDE4A,0.17975976540115507
PDE4B,0.251141266857058
PDE4D,0.09490281080084702
PDE5A,0.19760551564296489
PDGFA,0.3128605040591972
PDGFRA,0.3122441210590246
PDGFRB,0.450306241301317
PDHX,0.12930971710914047
PDIA5,0.2063342946148115
PDK2,0.09827835399562851
PDLIM1,0.22549514749309993
PDS5A,0.146096350904863
PECR,0.1678275859714119
PEX11A,0.3984522560762233
PFKL,0.16621668047954472
PGM1,0.23950837554410273
PGR,0.16211892626312463
PHGDH,0.0995059815908721
PHKB,0.13171751258884642
PHKG2,0.10705118505043468
PIGB,0.19466023798950138
PIH1D1,0.17053556658884803
PIK3C2B,0.2661916885366276
PIK3C3,0.1926026434022712
PIK3CA,0.09476608140000457
PIK3CB,0.20640536183515604
PIK3CD,0.3927532384419519
PIK3CG,0.7260772673346851
PIK3R3,0.21273539242118888
PIK3R4,0.08415012748584311
PIN1,0.18568412966717046
PIP4K2B,0.18216311987437994
PKIG,0.278068507689336
PKM,0.31734353993403713
PLA2G15,0.200844567748167
PLA2G4A,0.1669754012287987
PLA2G4B,0.10581621506688611
PLA2G4C,0.13684274593125312
PLA2G4D,0.07408577175016773
PLAUR,0.28955997549797435
PLCB3,0.43697553661482674
PLD1,0.23110262738325352
PLD2,0.4060662576051421
PLEKHJ1,0.19654547372469752
PLEKHM1,0.08821437760015229
PLK1,0.05789550205827771
PLK3,0.13834794469818446
PLOD3,0.45553929703119483
PLS1,0.44073082622636817
PLSCR1,0.22980848747979638
PMAIP1,0.19607783508388527
PMM2,0.0902389179560751
PNKP,0.1081679301640196
PNP,0.2693337431687413
POLB,0.1375626028657563
POLE2,0.13562917943735672
POLG2,0.24711054437740043
POLR1C,0.13575665556075456
POLR2I,0.18826371132170394
POLR2K,0.10097245867498354
POP4,0.10732406562355919
PPARD,0.2167554548652693
PPARG,0.41636570428211467
PPIC,0.6258158101599383
PPIE,0.0804815865816736
PPOX,0.25016931625024175
PPP1R13B,0.3341491692100515
PPP2R3C,0.19100031141615706
PPP2R5A,0.2271655211439024
PPP2R5E,0.1566722232368328
PPP3CA,0.13642550207825307
PPP3CB,0.16872424923037277
PPP3CC,0.3589913452892343
PPP3R1,0.18430442364359528
PPP3R2,0.06979829603393267
PRCP,0.15705279318667678
PRKACA,0.22686135501541949
PRKAG2,0.4076320794085448
PRKCB,0.5655176472216529
PRKCD,0.2813384650093875
PRKCQ,0.30576695908459756
PRKDC,0.11724221710871639
PROS1,0.30902181597596146
PRPF4,0.09803724648332568
PRR15L,0.41140410605320543
PRSS23,0.5356266546149168
PSEN1,0.23741883253015467
PSENEN,0.1643420300982285
PSIP1,0.1528121256606827
PSMA1,0.06242914970003232
PSMA2,0.09035299208106867
PSMA3,0.15860083196865093
PSMA4,0.05085986482848051
PSMA5,0.10456648982122493
PSMA6,0.10376251818645461
PSMA7,0.2134851879984289
PSMB1,0.034831328386378785
PSMB2,0.09644032206023316
PSMB3,0.06329824243988261
PSMB4,0.2023983519689019
PSMB5,0.4342658864888655
PSMB6,0.16708236969531842
PSMB7,0.19056636988250872
PSMB8,0.27466593569256964
PSMD1,0.2376516415059454
PSMD2,0.2616468818000296
PSMD4,0.14117765134636046
PSME1,0.20737963848441776
PSMF1,0.06155059511640412
PSMG1,0.13464591695905292
PSRC1,0.2285545625634275
PTGS2,0.18368936110406842
PTK2,0.5672192831889035
PTK2B,0.5678896443892885
PTP4A3,0.1971699921761794
PTPN1,0.10925927273406469
PTPN12,0.451378696845635
PTPN6,0.5502560783301739
PTPRC,0.7165549795734901
PTPRF,0.7050481541952353
