dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
depmap,all4,between_tissue,0.5,0.625047531392324,0.005906019503318024,138,,
depmap,all4,between_tissue,0.6,0.5921468016776295,0.010457712012539323,138,,
depmap,all4,between_tissue,0.7,0.5525995585228609,0.018393211898385407,138,,
ctrpv2,full,marginal,0.3,0.5790072511866148,0.003616970421213239,440,0.5790072511866148,0.0
ctrpv2,full,marginal,0.4,0.5651414207331982,0.004177934105607557,440,0.5651414207331982,0.0
ctrpv2,full,marginal,0.5,0.5300818180164206,0.004760775602652947,440,0.5300818180164206,0.0
ctrpv2,full,marginal,0.6,0.49826322574484333,0.005965622600175689,440,0.4982632257448433,5.551115123125783e-17
ctrpv2,full,marginal,0.7,0.4254406027638122,0.006830063547649748,440,0.4254406027638122,0.0
ctrpv2,a61,marginal,0.3,0.5566397064761462,0.00484213081163705,232,,
ctrpv2,a61,marginal,0.4,0.5386298374602446,0.005555823674000111,232,,
ctrpv2,a61,marginal,0.5,0.5025853128944588,0.006403382541508808,232,,
ctrpv2,a61,marginal,0.6,0.46814385775862066,0.00824681334316955,232,,
ctrpv2,a61,marginal,0.7,0.4060738216567147,0.0098039849811949,232,,
ctrpv2,marginal,marginal,0.3,0.5636987243978565,0.003988000866301455,330,,
ctrpv2,marginal,marginal,0.4,0.5469994918333789,0.004621403171736101,330,,
ctrpv2,marginal,marginal,0.5,0.5116914818073758,0.005391216321625216,330,,
ctrpv2,marginal,marginal,0.6,0.47666674624395206,0.006869666321990614,330,,
ctrpv2,marginal,marginal,0.7,0.41429480663388196,0.008223961342554572,330,,
ctrpv2,all4,marginal,0.3,0.5535411741949064,0.004799115233534529,226,,
ctrpv2,all4,marginal,0.4,0.5353895674343003,0.005536702369788143,226,,
ctrpv2,all4,marginal,0.5,0.4994315667922303,0.006425928829298346,226,,
ctrpv2,all4,marginal,0.6,0.4648523679383258,0.008333470813965502,226,,
ctrpv2,all4,marginal,0.7,0.40391249929797257,0.010016816409433254,226,,
ctrpv2,full,residualized,0.3,0.3728552956204837,0.0018396465636163625,440,0.3728552956204837,0.0
ctrpv2,full,residualized,0.4,0.3161894964116725,0.002180271425089114,440,0.3161894964116725,0.0
ctrpv2,full,residualized,0.5,0.24444313964181513,0.002486487252306998,440,0.2444431396418151,2.7755575615628914e-17
ctrpv2,full,residualized,0.6,0.18387445887445886,0.0029057689545606805,440,0.1838744588744588,5.551115123125783e-17
ctrpv2,full,residualized,0.7,0.09961228330448639,0.003231977236779246,440,0.0996122833044863,9.71445146547012e-17
ctrpv2,a61,residualized,0.3,0.3868606628632233,0.0020731930850874884,232,,
ctrpv2,a61,residualized,0.4,0.3307919448854121,0.0024501606399121795,232,,
ctrpv2,a61,residualized,0.5,0.26280540366233446,0.0029353199749975727,232,,
ctrpv2,a61,residualized,0.6,0.19909405033565153,0.0036866727133199593,232,,
ctrpv2,a61,residualized,0.7,0.11103013203280498,0.00460689186905941,232,,
ctrpv2,marginal,residualized,0.3,0.383148498346184,0.001802294097474656,330,,
ctrpv2,marginal,residualized,0.4,0.3271588332302618,0.002211738268059187,330,,
ctrpv2,marginal,residualized,0.5,0.256925579938825,0.0025620995433622185,330,,
