dataset,item,method,n_cells,r1_pearson,rhalf_pearson,rhalf_spearman,sb_pred_rhalf,full_reliability_sb,in_a61,in_marginal,in_all4,r_wt
ctrpv2,BRD3308,irm,411,0.10013249837040139,0.9523837831126505,0.9460474051835182,0.9580031616331827,0.9756112413454716,False,False,False,0.0515794476625415
ctrpv2,BRD3308,marginal,411,0.13113821231450346,0.9585974264278511,0.9435430664071177,0.9686921420841675,0.9788611110106173,False,False,False,0.0597082165571192
ctrpv2,BRD3308,residualized,411,0.06210098589487312,0.9568756521426206,0.9497925533744018,0.931382955307875,0.9779626529615402,False,False,False,0.3219419123065949
ctrpv2,BRD3308,within_tissue,411,0.08811147252081987,0.9412348376784051,0.9251739904175631,0.9519419760938788,0.9697279478087905,False,False,False,0.0597082165571192
ctrpv2,BRD4132,adae,317,0.0851142842965181,0.9416827136592213,0.9403061865432665,0.9363023484127468,0.9699655943112991,False,False,False,0.0694218469658539
ctrpv2,BRD4132,between_tissue,317,0.2534508793404198,0.9779877956915703,0.971065665746535,0.9816985438435173,0.9888714155080348,False,False,False,
ctrpv2,BRD4132,dann,317,0.11954381657559972,0.9545472954486103,0.9464672653629759,0.9554613873797563,0.9767451498066936,False,False,False,0.1000600003711818
ctrpv2,BRD4132,irm,317,0.0972241243186817,0.9294041586840607,0.9203921436484027,0.9444930234184549,0.9634105477599422,False,False,False,0.0938834519251636
ctrpv2,BRD4132,marginal,317,0.07280020513576332,0.9376770301590636,0.9295711640388763,0.9254040844110275,0.9678362447038863,False,False,False,0.0760529817451997
ctrpv2,BRD4132,residualized,317,0.0836295758142747,0.9274395081607585,0.9243310532527371,0.9351464557631638,0.9623539459827294,False,False,False,0.127475268674463
ctrpv2,BRD4132,within_tissue,317,0.0033991211315792203,0.9176084888510742,0.9088445319560041,0.35018219960201225,0.9570342373701681,False,False,False,0.0760529817451997
ctrpv2,BRD6340,adae,554,0.09707982643666553,0.9693873480948874,0.9637341488560448,0.9675138831808288,0.9844557486698967,True,True,True,0.3032834430537222
ctrpv2,BRD6340,between_tissue,554,0.2217750068518498,0.9904349601186697,0.9898191961086009,0.9874903356300043,0.995194497648514,True,True,True,
ctrpv2,BRD6340,dann,554,0.1278366707733521,0.9763730741140767,0.97087195909324,0.9759621523851699,0.9880453107789305,True,True,True,0.2973076446270407
ctrpv2,BRD6340,irm,554,0.06295587759489703,0.9643782743319829,0.9586283548106309,0.9490066832721401,0.9818661577897307,True,True,True,0.2233637096094656
ctrpv2,BRD6340,marginal,554,0.09691172644346843,0.9720861913069172,0.964738837042405,0.9674535064055386,0.9858455432545856,True,True,True,0.2811126973108159
ctrpv2,BRD6340,residualized,554,0.07227622909204574,0.9607181800860352,0.9525331310578025,0.9557135203227141,0.979965596120376,True,True,True,0.3534363419119195
ctrpv2,BRD6340,within_tissue,554,0.016189194037584165,0.9611054292738925,0.9542682683595073,0.8200856501812718,0.9801670169560908,True,True,True,0.2811126973108159
ctrpv2,BRD9647,adae,465,0.054568228640894056,0.9584366027665867,0.9566811607201595,0.9305098384998227,0.9787772567288118,True,True,False,0.1427421221443841
ctrpv2,BRD9647,between_tissue,465,0.2509909132757472,0.9909459767699864,0.9883825367766569,0.9873003892163541,0.9954524013530983,True,True,False,
ctrpv2,BRD9647,dann,465,0.14946198470382868,0.9722756530941356,0.967729037268958,0.9760585273990677,0.9859429654965471,True,True,False,0.0962324531340267
ctrpv2,BRD9647,irm,465,0.08813060197717658,0.9574364714748078,0.9482520410517393,0.9573058254384598,0.978255473858049,True,True,False,0.0670687154116218
ctrpv2,BRD9647,marginal,465,0.1657261797533486,0.9658689152900045,0.9618439618004118,0.9787623353036168,0.9826381685754665,True,True,False,0.10894826989268
ctrpv2,BRD9647,residualized,465,0.07441405634680526,0.9520937553781869,0.9484391718676539,0.9491146835981297,0.9754590451970725,True,True,False,0.2145307139501783
ctrpv2,BRD9647,within_tissue,465,0.03485188796845782,0.9507162063538717,0.9470280093069414,0.8933630627042781,0.9747355389340586,True,True,False,0.10894826989268
ctrpv2,BRD9876,adae,146,0.0982169683360189,0.8445564210494894,0.8588810223631971,0.8882773421593924,0.9157284769516193,False,False,False,-0.1225967727425424
ctrpv2,BRD9876,between_tissue,146,0.3173311568086291,0.9580866713306838,0.9495343104513578,0.9713739798235217,0.9785947530908667,False,False,False,
ctrpv2,BRD9876,dann,146,0.15139821689356672,0.8621635559408191,0.8413785502225402,0.9286929502414382,0.9259804845715919,False,False,False,-0.0860081714208513
ctrpv2,BRD9876,irm,146,0.011459686282640979,0.7466970587906037,0.7761586846149575,0.4583629854340594,0.85498175545977,False,False,False,-0.0735659680126406
ctrpv2,BRD9876,marginal,146,0.06561358873337417,0.7715847737765644,0.7703150600513008,0.8367649734511456,0.8710672898048718,False,False,False,-0.08533104460391
ctrpv2,BRD9876,residualized,146,0.0668187443017766,0.7008628975726671,0.6949575916645916,0.8394098518170217,0.8241262697574054,False,False,False,-0.0538360305025332
ctrpv2,BRD9876,within_tissue,146,-0.0036330406615416593,0.6533780178300083,0.6569600700968986,,0.7903552736083191,False,False,False,-0.08533104460391
ctrpv2,Bax_channel_blocker,adae,702,0.07412817076182761,0.974322917402004,0.9729174429069563,0.9656382761960227,0.9869944868837444,False,False,False,0.1335007595851421
ctrpv2,Bax_channel_blocker,between_tissue,702,0.28519448406084175,0.9921865355087439,0.9884383659690062,0.9929099464010548,0.9960779453369507,False,False,False,
ctrpv2,Bax_channel_blocker,dann,702,0.1278538747944202,0.9810440067696504,0.977980373461846,0.9809362200923378,0.9904313113865352,False,False,False,0.0430189864405677
ctrpv2,Bax_channel_blocker,irm,702,0.1307007753643839,0.9742761940118398,0.9682760138203458,0.9814034831969464,0.9869705130081684,False,False,False,0.0335159423299141
ctrpv2,Bax_channel_blocker,marginal,702,0.07872102604451084,0.9777967570046615,0.9733223184424776,0.9677337003843994,0.988773748911913,False,False,False,0.0285040510101235
ctrpv2,Bax_channel_blocker,residualized,702,0.03864346984516574,0.9390041452639382,0.931934647568168,0.9338146411716295,0.9685426898725071,False,False,False,0.1516969451445406
ctrpv2,Bax_channel_blocker,within_tissue,702,0.05836261665811361,0.9683266840242577,0.9627390598093054,0.9560535267512201,0.9839085065335872,False,False,False,0.0285040510101235
ctrpv2,Belinostat,adae,384,0.13388601430164845,0.9665286961542467,0.9609876140019729,0.9674052939086786,0.9829794988950785,True,True,True,0.498991052964869
ctrpv2,Belinostat,between_tissue,384,0.2907314045787116,0.9899095014927417,0.9896219066328872,0.9874531685632434,0.9949291671306213,True,True,True,
ctrpv2,Belinostat,dann,384,0.15505348294534793,0.9667457124864637,0.9591170160567248,0.9724010917329758,0.9830917198383037,True,True,True,0.4667036194265375
ctrpv2,Belinostat,irm,384,0.0719958446658021,0.9453526994206269,0.9373002901663009,0.9370896091817661,0.9719087954612815,True,True,True,0.4149162860051118
ctrpv2,Belinostat,marginal,384,0.047534932554820435,0.9545629376612172,0.9509522457974082,0.9055016566542228,0.9767533388343321,True,True,True,0.4770589689208132
ctrpv2,Belinostat,residualized,384,0.05605988570074867,0.9464745227096824,0.9380367087409496,0.9193726158801028,0.9725013214065577,True,True,True,0.5205990682015015
ctrpv2,Belinostat,within_tissue,384,0.07817300185974349,0.9324904980723995,0.9275600672207039,0.9421364327755264,0.9650660626818403,True,True,True,0.4770589689208132
ctrpv2,Bexarotene,adae,108,0.037293832936978924,0.7761625311612901,0.7650026146668122,0.6765723132096603,0.8739769222063476,False,False,False,0.0535340617265643
ctrpv2,Bexarotene,between_tissue,108,0.20686897469094845,0.9409293678280706,0.9305823528243249,0.933707176902208,0.9695658002032138,False,False,False,
ctrpv2,Bexarotene,dann,108,0.001488729021371489,0.7615202771233314,0.756870484953075,0.07451216107247434,0.8646171003684837,False,False,False,0.0240554453808655
ctrpv2,Bexarotene,irm,108,0.0029797269210063296,0.7318953839699782,0.6989779490788042,0.13895993309445426,0.8451958365894754,False,False,False,0.0808191507225784
ctrpv2,Bexarotene,marginal,108,0.06277016559634872,0.751332367873201,0.7388867740487046,0.7833905502419217,0.8580123129747336,False,False,False,0.0389672153217861
ctrpv2,Bexarotene,residualized,108,0.03732588637798902,0.703626534076385,0.7108222604252259,0.6767675616188438,0.826033781468253,False,False,False,0.2196637004825867
ctrpv2,Bexarotene,within_tissue,108,0.0103227686950992,0.5474259534193491,0.533195314331502,0.36030449278025134,0.7075310482025989,False,False,False,0.0389672153217861
ctrpv2,Bml-281,adae,753,0.04624955509029086,0.9774631330992862,0.9764321925486407,0.9480063171600641,0.988603141811604,True,True,True,0.2418469683927021
ctrpv2,Bml-281,between_tissue,753,0.2972611256189512,0.9939491265564001,0.9931677552201219,0.9937519283644837,0.9969653822341746,True,True,True,
ctrpv2,Bml-281,dann,753,0.13517472227899358,0.9824133686420764,0.9756679164406801,0.983269170760471,0.9911286759683374,True,True,True,0.2522407286310265
ctrpv2,Bml-281,irm,753,0.07072677470226449,0.9747301921104068,0.9689719852752059,0.9662359212498202,0.9872034124000569,True,True,True,0.1464214360237308
ctrpv2,Bml-281,marginal,753,0.08230224009575944,0.9746824198713455,0.9705871720225886,0.9711989465363644,0.9871789104547232,True,True,True,0.2605257221363088
ctrpv2,Bml-281,residualized,753,0.1309634469882327,0.9705919792082263,0.966589808273538,0.9826578699617351,0.9850765551153874,True,True,True,0.2372333354132441
ctrpv2,Bml-281,within_tissue,753,0.046475845117738515,0.9674415993428159,0.961412542076834,0.9482580155682448,0.9834514017249307,True,True,True,0.2605257221363088
ctrpv2,Bortezomib,adae,737,0.15363780180748426,0.9788168336706325,0.9744437942732219,0.9852511785720224,0.9892950343008384,True,True,True,0.1519699442364355
ctrpv2,Bortezomib,between_tissue,737,0.3255535776377128,0.9937823097902954,0.9925092559956195,0.994401919770297,0.9968814598368271,True,True,True,
ctrpv2,Bortezomib,dann,737,0.11621832103539327,0.9815451193724678,0.9773274924557486,0.979753982129046,0.9906866210377402,True,True,True,0.1603610189793225
ctrpv2,Bortezomib,irm,737,0.047205025607721815,0.9747752025773055,0.9693603000349897,0.9480035872860053,0.9872264967730133,True,True,True,0.0922786363025794
ctrpv2,Bortezomib,marginal,737,0.11652453439137847,0.9808755163193817,0.9753219769137124,0.9798129675329313,0.9903454389117026,True,True,True,0.13797798349126
ctrpv2,Bortezomib,residualized,737,0.06823727618735055,0.9711681887292987,0.966646498547694,0.9642222536310776,0.9853732363196833,True,True,True,0.2061353200994342
ctrpv2,Bortezomib,within_tissue,737,0.08380215617016076,0.9772410483144147,0.9722845053567433,0.9711482741699687,0.9884895411690006,True,True,True,0.13797798349126
ctrpv2,Bosutinib,adae,717,0.084854224397389,0.9756843242023836,0.9706161968118776,0.9707555363609415,0.9876925298744611,True,True,True,0.1294422596151056
ctrpv2,Bosutinib,between_tissue,717,0.35265926889834653,0.9930505279807086,0.9930089832144354,0.9948987864381692,0.9965131481004987,True,True,True,
ctrpv2,Bosutinib,dann,717,0.16979983696224674,0.9841250352354137,0.9786130435518734,0.9865267801079628,0.9919990098997451,True,True,True,0.1726697754130149
ctrpv2,Bosutinib,irm,717,0.11617488135346798,0.9737445792982715,0.9655009587179165,0.9791915968349425,0.9866976603877169,True,True,True,0.1254603947740065
ctrpv2,Bosutinib,marginal,717,0.15293179421732342,0.9783743869284811,0.9712895801662146,0.9847640424805715,0.9890689986615255,True,True,True,0.14940074344772
ctrpv2,Bosutinib,residualized,717,0.09335396620605496,0.9702085718061518,0.9692154144359189,0.9735882434004439,0.9848790485331523,True,True,True,0.2124155413158627
ctrpv2,Bosutinib,within_tissue,717,0.10143891618329659,0.9752365591676935,0.9682317149174408,0.9758540201332098,0.9874630505812726,True,True,True,0.14940074344772
ctrpv2,CAY10594,adae,415,0.07432260142964356,0.9626826680111698,0.9535279541747019,0.9432463810602542,0.9809865687423405,False,False,False,0.0574667526641157
ctrpv2,CAY10594,between_tissue,415,0.28770063807813007,0.9864100405868594,0.986165916369308,0.9881808076772911,0.9931585326617028,False,False,False,
ctrpv2,CAY10594,dann,415,0.12183863298830397,0.9643987282929597,0.9549557488333111,0.966352369959482,0.9818767589317381,False,False,False,0.0680335356836384
ctrpv2,CAY10594,irm,415,0.06623623623939232,0.951272161169048,0.9412913413068482,0.9362386380910325,0.9750276564178735,False,False,False,0.0515608015796952
ctrpv2,CAY10594,marginal,415,0.1251349512487237,0.9599469606869573,0.9498680792363917,0.9673287181863934,0.9795642228507019,False,False,False,0.0693371267016634
ctrpv2,CAY10594,residualized,415,0.05735668572713386,0.9526301026008202,0.9380254346968474,0.9264449309874283,0.9757404654695812,False,False,False,0.12792604052542
ctrpv2,CAY10594,within_tissue,415,0.09947077601659317,0.9442252854562516,0.9317385487299514,0.9580973399131096,0.9713126277283963,False,False,False,0.0693371267016634
ctrpv2,CAY10618,adae,722,0.12096237954847859,0.9763205876016754,0.9699694188203365,0.9802669463116743,0.9880184355985178,True,True,True,0.260151228324064
ctrpv2,CAY10618,between_tissue,722,0.3483269689484689,0.994689913426746,0.9924924532398137,0.9948442654765832,0.9973378886926181,True,True,True,
ctrpv2,CAY10618,dann,722,0.19499447542218026,0.9831852027639159,0.9798838013711073,0.9886934268029005,0.9915213177202765,True,True,True,0.2259274608473775
ctrpv2,CAY10618,irm,722,0.044619756873131126,0.9734080593416223,0.9691860168224566,0.9440090285659013,0.986524864671299,True,True,True,0.1084631545604926
ctrpv2,CAY10618,marginal,722,0.09741971703235738,0.981006630824754,0.976323149596124,0.9749777431318143,0.9904122637048729,True,True,True,0.2362516962471518
ctrpv2,CAY10618,residualized,722,0.12089807577042706,0.979482143775174,0.9762304728094285,0.9802552420745995,0.9896347353830152,True,True,True,0.2607732000658973
