target,method,auroc_coessG_0.01,auroc_coessW_0.01,auroc_string,auroc_RANDOM,auroc_CORUM
CDK4,irm,0.6130188679245283,0.5124528301886793,0.48225705329153595,0.4187735849056604,0.6116322701688556
CDK4,dann,0.5476415094339623,0.5135849056603774,0.4656874160322436,0.42990566037735845,0.6590056285178236
CDK4,adae,0.7314150943396227,0.6585849056603773,0.4381191222570533,0.6033018867924528,0.7753283302063789
CDK6,marginal,0.6977358490566037,0.6421698113207546,0.5452793834296724,0.6554716981132075,0.9843798812870979
CDK6,residualized,0.6995283018867924,0.5864150943396227,0.5844472543352601,0.6214150943396227,0.9272102467978757
CDK6,within_tissue,0.6802830188679245,0.6610377358490566,0.5531972543352601,0.6679245283018868,0.9803186504217433
CDK6,irm,0.6572641509433963,0.600566037735849,0.5252288053949904,0.6479245283018868,0.9690721649484536
CDK6,dann,0.6770754716981132,0.6754716981132075,0.5563884874759153,0.6368867924528302,0.9415807560137457
CDK6,adae,0.5527358490566038,0.6026415094339623,0.5695146917148363,0.5872641509433962,0.8406747891283974
CENPW,marginal,0.6245283018867924,0.5741509433962264,0.4582156308851224,0.460188679245283,
CENPW,residualized,0.47386792452830184,0.3980188679245283,0.256120527306968,0.4558490566037736,
CENPW,within_tissue,0.6232075471698114,0.5984905660377359,0.4835216572504708,0.4267924528301887,
CENPW,irm,0.5917924528301887,0.5378301886792453,0.3649952919020716,0.4863207547169811,
CENPW,dann,0.5912264150943397,0.5993396226415095,0.3926553672316384,0.45094339622641505,
CENPW,adae,0.4312264150943396,0.31141509433962267,0.2257532956685499,0.5223584905660377,
CFL1,marginal,0.5771698113207547,0.475,0.34812006319115324,0.48886792452830186,
CFL1,residualized,0.41009433962264147,0.4533018867924528,0.36796208530805685,0.45603773584905666,
CFL1,within_tissue,0.4158490566037736,0.4029245283018868,0.25908372827804105,0.38490566037735846,
CFL1,irm,0.5591509433962264,0.4583018867924528,0.40398104265402845,0.49735849056603776,
CFL1,dann,0.4794339622641509,0.4068867924528302,0.3494470774091627,0.3699056603773585,
CFL1,adae,0.6094339622641509,0.6435849056603773,0.4607898894154819,0.74,
CFLAR,marginal,0.5651886792452829,0.4580188679245283,0.6167911408704609,0.40905660377358494,
CFLAR,residualized,0.4515094339622641,0.409433962264151,0.6772255129195639,0.5295283018867925,
CFLAR,within_tissue,0.5563207547169811,0.4909433962264151,0.6150742553008842,0.4064150943396227,
CFLAR,irm,0.5833962264150944,0.47198113207547165,0.5894926603141901,0.3180188679245283,
CFLAR,dann,0.5661320754716981,0.5445283018867925,0.5409047986951669,0.4336792452830189,
CFLAR,adae,0.6882075471698113,0.4300943396226415,0.7089878959567344,0.5147169811320755,
CHAF1B,marginal,0.3391509433962265,0.43971698113207547,0.43832082551594753,0.6083962264150943,
CHAF1B,residualized,0.6712264150943397,0.46849056603773587,0.4922607879924953,0.595188679245283,
CHAF1B,within_tissue,0.3575471698113208,0.4516981132075472,0.48897748592870544,0.6135849056603775,
CHAF1B,irm,0.3667924528301887,0.4935849056603773,0.45215759849906195,0.585943396226415,
CHAF1B,dann,0.43528301886792453,0.4747169811320755,0.43949343339587243,0.649245283018868,
CHAF1B,adae,0.470377358490566,0.49,0.4437148217636022,0.5095283018867924,
CHMP4B,marginal,0.5697169811320755,0.49386792452830186,0.49703217744454853,0.5583018867924529,
CHMP4B,residualized,0.41415094339622643,0.3685849056603774,0.5716963448922212,0.6131132075471698,
CHMP4B,within_tissue,0.505,0.46622641509433965,0.535770071852546,0.5664150943396227,
CHMP4B,irm,0.545188679245283,0.4812264150943396,0.6251171508903467,0.4378301886792453,
CHMP4B,dann,0.4880188679245283,0.4597169811320755,0.7350827866291783,0.5916981132075472,
CHMP4B,adae,0.5066037735849056,0.3540566037735849,0.4864104967197751,0.6262264150943396,
COPG1,marginal,0.610566037735849,0.5883018867924528,,0.46905660377358493,
COPG1,residualized,0.5934905660377358,0.6282075471698113,,0.5558490566037736,
COPG1,within_tissue,0.6182075471698114,0.63,,0.48716981132075465,
COPG1,irm,0.6218867924528302,0.6381132075471697,,0.4826415094339622,
COPG1,dann,0.5672641509433962,0.5566981132075473,,0.49726415094339627,
COPG1,adae,0.44905660377358486,0.460188679245283,,0.40273584905660376,
CRKL,marginal,0.5961320754716981,0.5961320754716981,0.5634108258154059,0.47754716981132084,
CRKL,residualized,0.5324528301886793,0.5324528301886793,0.4863809854267869,0.439433962264151,
CRKL,within_tissue,0.5574528301886792,0.5574528301886792,0.5078504510756419,0.5107547169811322,
