item,method,K,contamination
AT7867,adae,10,0.4
AT7867,adae,50,0.3
AT7867,adae,100,0.3
AZ-3146,marginal,10,0.2
AZ-3146,marginal,50,0.34
AZ-3146,marginal,100,0.32
AZ-3146,residualized,10,0.0
AZ-3146,residualized,50,0.12
AZ-3146,residualized,100,0.12
AZ-3146,irm,10,0.3
AZ-3146,irm,50,0.36
AZ-3146,irm,100,0.36
AZ-3146,within_tissue,10,0.0
AZ-3146,within_tissue,50,0.12
AZ-3146,within_tissue,100,0.14
AZ-3146,dann,10,0.2
AZ-3146,dann,50,0.2
AZ-3146,dann,100,0.22
AZ-3146,adae,10,0.1
AZ-3146,adae,50,0.14
AZ-3146,adae,100,0.21
AZD-7545,marginal,10,0.6
AZD-7545,marginal,50,0.32
AZD-7545,marginal,100,0.31
AZD-7545,residualized,10,0.2
AZD-7545,residualized,50,0.16
AZD-7545,residualized,100,0.16
AZD-7545,irm,10,0.4
AZD-7545,irm,50,0.22
AZD-7545,irm,100,0.27
AZD-7545,within_tissue,10,0.2
AZD-7545,within_tissue,50,0.24
AZD-7545,within_tissue,100,0.24
AZD-7545,dann,10,0.4
AZD-7545,dann,50,0.16
AZD-7545,dann,100,0.16
AZD-7545,adae,10,0.1
AZD-7545,adae,50,0.22
AZD-7545,adae,100,0.19
AZD1480,marginal,10,0.3
AZD1480,marginal,50,0.42
AZD1480,marginal,100,0.37
AZD1480,residualized,10,0.2
AZD1480,residualized,50,0.26
AZD1480,residualized,100,0.24
AZD1480,irm,10,0.3
AZD1480,irm,50,0.48
AZD1480,irm,100,0.43
AZD1480,within_tissue,10,0.2
AZD1480,within_tissue,50,0.16
AZD1480,within_tissue,100,0.26
AZD1480,dann,10,0.2
AZD1480,dann,50,0.26
AZD1480,dann,100,0.3
AZD1480,adae,10,0.2
AZD1480,adae,50,0.26
AZD1480,adae,100,0.25
AZD4547,marginal,10,0.5
AZD4547,marginal,50,0.24
AZD4547,marginal,100,0.25
AZD4547,residualized,10,0.1
AZD4547,residualized,50,0.16
AZD4547,residualized,100,0.15
AZD4547,irm,10,0.4
AZD4547,irm,50,0.3
AZD4547,irm,100,0.28
AZD4547,within_tissue,10,0.0
AZD4547,within_tissue,50,0.16
AZD4547,within_tissue,100,0.19
AZD4547,dann,10,0.3
AZD4547,dann,50,0.2
AZD4547,dann,100,0.22
AZD4547,adae,10,0.2
AZD4547,adae,50,0.34
AZD4547,adae,100,0.28
AZD6482,marginal,10,0.3
AZD6482,marginal,50,0.34
AZD6482,marginal,100,0.3
AZD6482,residualized,10,0.1
AZD6482,residualized,50,0.14
AZD6482,residualized,100,0.13
AZD6482,irm,10,0.3
AZD6482,irm,50,0.34
AZD6482,irm,100,0.33
AZD6482,within_tissue,10,0.0
AZD6482,within_tissue,50,0.1
AZD6482,within_tissue,100,0.18
AZD6482,dann,10,0.1
AZD6482,dann,50,0.24
AZD6482,dann,100,0.24
AZD6482,adae,10,0.1
AZD6482,adae,50,0.3
AZD6482,adae,100,0.33
AZD7762,marginal,10,0.4
AZD7762,marginal,50,0.16
AZD7762,marginal,100,0.17
AZD7762,residualized,10,0.1
AZD7762,residualized,50,0.06
AZD7762,residualized,100,0.13
AZD7762,irm,10,0.2
AZD7762,irm,50,0.22
AZD7762,irm,100,0.19
AZD7762,within_tissue,10,0.1
AZD7762,within_tissue,50,0.1
AZD7762,within_tissue,100,0.07
AZD7762,dann,10,0.2
AZD7762,dann,50,0.1
AZD7762,dann,100,0.14
AZD7762,adae,10,0.4
AZD7762,adae,50,0.42
AZD7762,adae,100,0.35
AZD8055,marginal,10,0.0
AZD8055,marginal,50,0.22
AZD8055,marginal,100,0.2
AZD8055,residualized,10,0.0
AZD8055,residualized,50,0.14
