item,method,K,contamination
DBR1,residualized,50,0.22
DBR1,residualized,100,0.18
DBR1,irm,10,0.1
DBR1,irm,50,0.22
DBR1,irm,100,0.28
DBR1,within_tissue,10,0.0
DBR1,within_tissue,50,0.08
DBR1,within_tissue,100,0.14
DBR1,dann,10,0.2
DBR1,dann,50,0.2
DBR1,dann,100,0.24
DBR1,adae,10,0.3
DBR1,adae,50,0.4
DBR1,adae,100,0.36
DDX3X,marginal,10,0.2
DDX3X,marginal,50,0.34
DDX3X,marginal,100,0.24
DDX3X,residualized,10,0.0
DDX3X,residualized,50,0.12
DDX3X,residualized,100,0.1
DDX3X,irm,10,0.4
DDX3X,irm,50,0.26
DDX3X,irm,100,0.26
DDX3X,within_tissue,10,0.1
DDX3X,within_tissue,50,0.18
DDX3X,within_tissue,100,0.17
DDX3X,dann,10,0.1
DDX3X,dann,50,0.42
DDX3X,dann,100,0.33
DDX3X,adae,10,0.9
DDX3X,adae,50,0.68
DDX3X,adae,100,0.55
DHFR,marginal,10,0.6
DHFR,marginal,50,0.36
DHFR,marginal,100,0.28
DHFR,residualized,10,0.2
DHFR,residualized,50,0.24
DHFR,residualized,100,0.2
DHFR,irm,10,0.8
DHFR,irm,50,0.36
DHFR,irm,100,0.33
DHFR,within_tissue,10,0.5
DHFR,within_tissue,50,0.22
DHFR,within_tissue,100,0.19
DHFR,dann,10,0.3
DHFR,dann,50,0.32
DHFR,dann,100,0.31
DHFR,adae,10,0.7
DHFR,adae,50,0.58
DHFR,adae,100,0.51
DNAJC9,marginal,10,0.0
DNAJC9,marginal,50,0.08
DNAJC9,marginal,100,0.12
DNAJC9,residualized,10,0.2
DNAJC9,residualized,50,0.06
DNAJC9,residualized,100,0.07
DNAJC9,irm,10,0.2
DNAJC9,irm,50,0.12
DNAJC9,irm,100,0.13
DNAJC9,within_tissue,10,0.0
DNAJC9,within_tissue,50,0.06
DNAJC9,within_tissue,100,0.06
DNAJC9,dann,10,0.0
DNAJC9,dann,50,0.12
DNAJC9,dann,100,0.14
DNAJC9,adae,10,0.7
DNAJC9,adae,50,0.64
DNAJC9,adae,100,0.65
DNM2,marginal,10,0.3
DNM2,marginal,50,0.38
DNM2,marginal,100,0.34
DNM2,residualized,10,0.3
DNM2,residualized,50,0.28
DNM2,residualized,100,0.24
DNM2,irm,10,0.2
DNM2,irm,50,0.26
DNM2,irm,100,0.29
DNM2,within_tissue,10,0.2
DNM2,within_tissue,50,0.24
DNM2,within_tissue,100,0.19
DNM2,dann,10,0.3
DNM2,dann,50,0.28
DNM2,dann,100,0.31
DNM2,adae,10,0.4
DNM2,adae,50,0.54
DNM2,adae,100,0.46
DONSON,marginal,10,0.3
DONSON,marginal,50,0.24
DONSON,marginal,100,0.27
DONSON,residualized,10,0.0
DONSON,residualized,50,0.08
