dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,HMGCS1,residualized,shap,0.06,0.03715370062517727,1076
depmap,HMGCS1,residualized,grad_x_input,0.04,0.036351107462794165,1076
depmap,HMGCS1,residualized,lrp_eps,0.06,0.05622378224555372,1076
depmap,HMGCS1,residualized,lrp_ab,0.16,0.031734048973306186,1076
depmap,HMGCS1,residualized,int_grad,0.08,0.03646011390874911,1076
depmap,HMGCS1,residualized,lime,0.08,0.026907849306076932,1076
depmap,TYMS,marginal,shap,0.22,0.09438232545509805,1076
depmap,TYMS,marginal,grad_x_input,0.26,0.08134755503771798,1076
depmap,TYMS,marginal,lrp_eps,0.26,0.08382284188226954,1076
depmap,TYMS,marginal,lrp_ab,0.2,0.1261944891458269,1076
depmap,TYMS,marginal,int_grad,0.26,0.08352366920407106,1076
depmap,TYMS,marginal,lime,0.2,0.03646111891296406,1076
depmap,TYMS,residualized,shap,0.1,0.03210715987663428,1076
depmap,TYMS,residualized,grad_x_input,0.06,0.0324939692127788,1076
depmap,TYMS,residualized,lrp_eps,0.06,0.040223364099500475,1076
depmap,TYMS,residualized,lrp_ab,0.12,0.01342040932177634,1076
depmap,TYMS,residualized,int_grad,0.06,0.03257522381160687,1076
depmap,TYMS,residualized,lime,0.08,0.027233255178718125,1076
depmap,NHLRC2,marginal,shap,0.16,0.10489410984182933,1076
depmap,NHLRC2,marginal,grad_x_input,0.18,0.09050238530687969,1076
depmap,NHLRC2,marginal,lrp_eps,0.18,0.0923291376176448,1076
depmap,NHLRC2,marginal,lrp_ab,0.12,0.113817752276759,1076
depmap,NHLRC2,marginal,int_grad,0.18,0.0929875866373732,1076
depmap,NHLRC2,marginal,lime,0.12,0.038529118675836395,1076
depmap,NHLRC2,residualized,shap,0.12,0.030769566077654905,1076
depmap,NHLRC2,residualized,grad_x_input,0.12,0.031002218631564847,1076
depmap,NHLRC2,residualized,lrp_eps,0.12,0.046309466045098814,1076
depmap,NHLRC2,residualized,lrp_ab,0.12,0.017759359537451204,1076
depmap,NHLRC2,residualized,int_grad,0.12,0.03060962941139898,1076
depmap,NHLRC2,residualized,lime,0.2,0.02517561290806653,1076
depmap,ORC6,marginal,shap,0.18,0.1011978783477276,1076
depmap,ORC6,marginal,grad_x_input,0.22,0.09399937931942948,1076
depmap,ORC6,marginal,lrp_eps,0.24,0.09595446053268819,1076
depmap,ORC6,marginal,lrp_ab,0.22,0.26895823562225635,1076
depmap,ORC6,marginal,int_grad,0.22,0.09519938107178266,1076
depmap,ORC6,marginal,lime,0.14,0.036657776919566294,1076
depmap,ORC6,residualized,shap,0.04,0.02991923412197752,1076
depmap,ORC6,residualized,grad_x_input,0.06,0.029481201241826745,1076
depmap,ORC6,residualized,lrp_eps,0.06,0.03858996152497718,1076
depmap,ORC6,residualized,lrp_ab,0.22,0.01709111716126124,1076
depmap,ORC6,residualized,int_grad,0.08,0.029300643267264424,1076
depmap,ORC6,residualized,lime,0.12,0.024956011917629212,1076
depmap,SNRPD1,marginal,shap,0.22,0.10765985978269632,1076
depmap,SNRPD1,marginal,grad_x_input,0.26,0.10113332728983943,1076
depmap,SNRPD1,marginal,lrp_eps,0.3,0.100898401086873,1076
depmap,SNRPD1,marginal,lrp_ab,0.44,0.4630300866937767,1076
depmap,SNRPD1,marginal,int_grad,0.28,0.10240341847552409,1076
depmap,SNRPD1,marginal,lime,0.2,0.03687874094720032,1076
depmap,SNRPD1,residualized,shap,0.18,0.035490026886776396,1076
depmap,SNRPD1,residualized,grad_x_input,0.12,0.03437306005609389,1076
depmap,SNRPD1,residualized,lrp_eps,0.12,0.04590212234936431,1076
depmap,SNRPD1,residualized,lrp_ab,0.26,0.01651543900935941,1076
depmap,SNRPD1,residualized,int_grad,0.14,0.03471346281626617,1076
depmap,SNRPD1,residualized,lime,0.1,0.026545589394044274,1076
depmap,PSMD7,marginal,shap,0.24,0.09948871903075816,1076
depmap,PSMD7,marginal,grad_x_input,0.26,0.0926856360127301,1076
depmap,PSMD7,marginal,lrp_eps,0.26,0.09373828659572264,1076
depmap,PSMD7,marginal,lrp_ab,0.2,0.2604989052478407,1076
depmap,PSMD7,marginal,int_grad,0.26,0.09378826185509266,1076
depmap,PSMD7,marginal,lime,0.26,0.039629559835870486,1076
depmap,PSMD7,residualized,shap,0.14,0.035110235268515234,1076
depmap,PSMD7,residualized,grad_x_input,0.16,0.03287143326830543,1076
depmap,PSMD7,residualized,lrp_eps,0.14,0.042859181655531875,1076
depmap,PSMD7,residualized,lrp_ab,0.22,0.026935189830038935,1076
depmap,PSMD7,residualized,int_grad,0.1,0.033554096171881785,1076
depmap,PSMD7,residualized,lime,0.18,0.027518066710831735,1076
depmap,FAU,marginal,shap,0.22,0.10819061910957992,1076
depmap,FAU,marginal,grad_x_input,0.26,0.10042829479805856,1076
depmap,FAU,marginal,lrp_eps,0.26,0.10101456804303229,1076
depmap,FAU,marginal,lrp_ab,0.18,0.539018405094943,1076
depmap,FAU,marginal,int_grad,0.24,0.10141656630418291,1076
depmap,FAU,marginal,lime,0.2,0.03863228140972163,1076
depmap,FAU,residualized,shap,0.04,0.034963443200341275,1076
depmap,FAU,residualized,grad_x_input,0.04,0.03275971846432777,1076
depmap,FAU,residualized,lrp_eps,0.04,0.04649755288884151,1076
depmap,FAU,residualized,lrp_ab,0.22,0.024098643327009717,1076
depmap,FAU,residualized,int_grad,0.06,0.03324194324707018,1076
depmap,FAU,residualized,lime,0.08,0.026880186652409554,1076
depmap,UTP4,marginal,shap,0.22,0.10140375182201991,1076
depmap,UTP4,marginal,grad_x_input,0.24,0.09379417188373665,1076
depmap,UTP4,marginal,lrp_eps,0.28,0.09659369711024737,1076
depmap,UTP4,marginal,lrp_ab,0.26,0.10950646868669836,1076
depmap,UTP4,marginal,int_grad,0.24,0.09481415865749164,1076
depmap,UTP4,marginal,lime,0.12,0.03646152495434322,1076
depmap,UTP4,residualized,shap,0.12,0.03372122074057041,1076
depmap,UTP4,residualized,grad_x_input,0.1,0.03231199884564937,1076
depmap,UTP4,residualized,lrp_eps,0.1,0.04502711654233738,1076
depmap,UTP4,residualized,lrp_ab,0.22,0.021016212106322905,1076
depmap,UTP4,residualized,int_grad,0.1,0.03218580710478721,1076
depmap,UTP4,residualized,lime,0.22,0.02685114425868309,1076
depmap,PFN1,marginal,shap,0.18,0.08810123303351872,1076
depmap,PFN1,marginal,grad_x_input,0.2,0.0731465130720819,1076
depmap,PFN1,marginal,lrp_eps,0.2,0.07688475701599805,1076
depmap,PFN1,marginal,lrp_ab,0.38,0.12212624315625803,1076
depmap,PFN1,marginal,int_grad,0.2,0.07603638048672091,1076
depmap,PFN1,marginal,lime,0.2,0.034000170560502085,1076
depmap,PFN1,residualized,shap,0.14,0.032095368771345285,1076
depmap,PFN1,residualized,grad_x_input,0.14,0.030418310660634686,1076
