dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,HMGCS1,residualized,lrp_ab,0.16,0.0317340489733061,1076
depmap,HMGCS1,residualized,int_grad,0.08,0.0364601139087491,1076
depmap,HMGCS1,residualized,lime,0.08,0.0269078493060769,1076
depmap,TYMS,marginal,shap,0.22,0.094382325455098,1076
depmap,TYMS,marginal,grad_x_input,0.26,0.0813475550377179,1076
depmap,TYMS,marginal,lrp_eps,0.26,0.0838228418822695,1076
depmap,TYMS,marginal,lrp_ab,0.2,0.1261944891458269,1076
depmap,TYMS,marginal,int_grad,0.26,0.083523669204071,1076
depmap,TYMS,marginal,lime,0.2,0.036461118912964,1076
depmap,TYMS,residualized,shap,0.1,0.0321071598766342,1076
depmap,TYMS,residualized,grad_x_input,0.06,0.0324939692127788,1076
depmap,TYMS,residualized,lrp_eps,0.06,0.0402233640995004,1076
depmap,TYMS,residualized,lrp_ab,0.12,0.0134204093217763,1076
depmap,TYMS,residualized,int_grad,0.06,0.0325752238116068,1076
depmap,TYMS,residualized,lime,0.08,0.0272332551787181,1076
depmap,NHLRC2,marginal,shap,0.16,0.1048941098418293,1076
depmap,NHLRC2,marginal,grad_x_input,0.18,0.0905023853068796,1076
depmap,NHLRC2,marginal,lrp_eps,0.18,0.0923291376176448,1076
depmap,NHLRC2,marginal,lrp_ab,0.12,0.113817752276759,1076
depmap,NHLRC2,marginal,int_grad,0.18,0.0929875866373732,1076
depmap,NHLRC2,marginal,lime,0.12,0.0385291186758363,1076
depmap,NHLRC2,residualized,shap,0.12,0.0307695660776549,1076
depmap,NHLRC2,residualized,grad_x_input,0.12,0.0310022186315648,1076
depmap,NHLRC2,residualized,lrp_eps,0.12,0.0463094660450988,1076
depmap,NHLRC2,residualized,lrp_ab,0.12,0.0177593595374512,1076
depmap,NHLRC2,residualized,int_grad,0.12,0.0306096294113989,1076
depmap,NHLRC2,residualized,lime,0.2,0.0251756129080665,1076
depmap,ORC6,marginal,shap,0.18,0.1011978783477276,1076
depmap,ORC6,marginal,grad_x_input,0.22,0.0939993793194294,1076
depmap,ORC6,marginal,lrp_eps,0.24,0.0959544605326881,1076
depmap,ORC6,marginal,lrp_ab,0.22,0.2689582356222563,1076
depmap,ORC6,marginal,int_grad,0.22,0.0951993810717826,1076
depmap,ORC6,marginal,lime,0.14,0.0366577769195662,1076
