Symbol,variance
NFKBIZ,3.948625682661077
WBP5,3.945089567651955
CD40,3.943515839927936
SERPINH1,3.9382273696789203
GLB1L2,3.937273453821421
SAMD9,3.936687762479417
PSMB8,3.936115084366022
DDX60,3.9331181330348817
COL7A1,3.927354973766255
CDH1,3.9265874028675505
FSTL1,3.9171406305661964
RAB38,3.900015291251146
AIM2,3.897948436343588
PTPRC,3.89779529959039
POU4F1,3.894315823330927
TUBA4A,3.889286752040582
PON2,3.8886973687079935
MARCKS,3.8861046262812966
GSN,3.8817238171419928
VGF,3.8787413425920785
CDS1,3.8772992506193376
NREP,3.8716713259033133
ADRB2,3.8707874341019637
MGMT,3.864963061776972
SYCP2,3.860620872522524
FAP,3.856004303191787
GATA3,3.8552140770889203
RRAGD,3.8491803340022215
PROCR,3.84788314005095
ST14,3.8463874546732075
COL4A1,3.8440690430264848
ZBED2,3.843041123140821
BIRC3,3.8300804348308928
MYC,3.825706778246444
TFPI2,3.824377219044237
CCDC80,3.8056600896092903
LPHN2,3.802593196735355
TRIP6,3.7940318650257163
TRIB2,3.7908160885047097
IFI30,3.7885278231920103
DTX4,3.7871334055774266
CCL20,3.782870718273389
HES6,3.7789009647503007
GLDC,3.775662742303352
CCND2,3.7732352534071802
KRT23,3.7709205765784644
ID4,3.7683398097909206
FLNC,3.76824767140097
AGPAT9,3.765604283609034
RARRES2,3.756668208894811
CD70,3.7533743692360515
RHOBTB3,3.750247610109382
GPX7,3.745178724587776
GRP,3.744105355069754
SLC16A4,3.739834361254414
EGR1,3.7322110039745597
ATP1B1,3.7271448445570674
TRBC2,3.7261029246499953
SH3BGRL,3.720338188123622
CKB,3.719662766865024
IGHM,3.7174059430714186
BATF,3.7024720867244283
PLCG2,3.700208524076034
CSDA,3.694268165268166
DLC1,3.694218498291039
EBF1,3.681751308287055
MAGEB2,3.6808954333497708
CALB1,3.6715397744094145
CDC42EP3,3.6711448916927947
AEBP1,3.6689778827414408
LOX,3.6630528432205995
ENPP2,3.662533470195704
RGS4,3.6621691658859303
PRKCB,3.6579795733872627
LDOC1,3.6524354908518752
SIPA1L2,3.648348062281828
ANXA6,3.6474223743289538
BACE2,3.6423729429159843
FBXL16,3.6412124285094043
LAMA1,3.6387010049927473
STEAP1,3.638268170185335
GPRC5C,3.637558953349856
GSTA4,3.6368656733777427
GAS6,3.6348626606428893
LYN,3.6310099326026846
TXNIP,3.6284992293044196
PLAUR,3.625308438589771
LAMB3,3.6247362390308386
PPIC,3.6148100950276754
PTPRM,3.612943403345448
HOXD8,3.612476437558256
KRT14,3.6106711917441654
ITGB2,3.6004363868937284
FOXQ1,3.595913784349701
TCEAL3,3.5874607381493244
EPPK1,3.58503950005927
SEL1L3,3.581393805496587
BTK,3.5811716885610494
TSPAN6,3.5781507886100985
PHLDA2,3.5770485635514713
CXCL5,3.57429083831972
LIMCH1,3.5699568187607786
TMSB15B,3.567539680648196
SAMSN1,3.566511222740659
RHOD,3.5640331898855426
TAGLN,3.5576630058026715
HENMT1,3.55679819200895
PPAP2C,3.5514726375421053
FAM129A,3.549767577176955
BMP7,3.5480117043244337
SGCE,3.5470316499989827
LEPREL1,3.541661561622818
IRF8,3.5374685924480596
PHGDH,3.5356410249556145
CD55,3.53378539343157
SERPINA3,3.530761677694573
CHN1,3.5218972380615114
GLIPR1,3.5185900033920943
PVRL3,3.5181675052949
MT2A,3.5173140175314854
PLEK,3.5155789692901664
PRTFDC1,3.508530058910883
PI3,3.5084330478734724
CYTL1,3.5068936731221405
CCNA1,3.5058586884987575
FYN,3.5046165307936197
FAM92A1P1,3.4998307900188523
ERP27,3.4941122144262144
MZB1,3.4883801445363054
AK4,3.486205233099952
ENAH,3.483670282816125
ANXA4,3.4781545793818327
GCHFR,3.47441317319791
STC1,3.4646066960369506
KLK8,3.4629960402921767
DACH1,3.4609446058818274
SNX7,3.4604635217766417
TM4SF4,3.4570727902924667
LCP2,3.4558547067873353
TJP1,3.4534895590972488
TNFAIP3,3.4532320926427658
ICA1,3.4525166473731694
APP,3.4489097547659107
TUBB2A,3.448322947122602
THY1,3.448314476842405
GIMAP2,3.441964418830567
ARHGEF5,3.4324438544404265
SAA1,3.432324098488938
PLEKHO1,3.427827588411278
PMEL,3.4259595651313175
ITGB5,3.4223356489514853
FAM64A,3.4195568244684194
MYO1B,3.4170244321356558
MYB,3.4166184849407983
ATP8B1,3.416365782671287
MS4A1,3.4139100754241896
IGFBP5,3.410320806216518
CHI3L1,3.4060651339547405
NEURL1B,3.403734549364747
TOX3,3.4024743120523024
ATF5,3.397454665137616
HOOK1,3.396448590777856
FAM210B,3.3939513562166725
MGST2,3.3932733124323127
GAS1,3.39250122770071
SPRY2,3.3909118408089776
GNG4,3.3904763107941696
XYLT1,3.3849096343443765
ONECUT2,3.384862029667145
SOGA2,3.38097886391926
SYK,3.3779835454332923
UBE2L6,3.3745659921370734
S100B,3.371934816797095
PRSS21,3.3651176775073184
CAMK2N1,3.362354355555582
CCL5,3.3614866580125833
TAGLN3,3.3611860127665802
PCDHB5,3.3593493732674595
MITF,3.358484667620629
PRSS3,3.357443017280647
SELENBP1,3.3539905430261143
CLDN3,3.352773849086938
RGS16,3.35172507097394
ASPHD1,3.351373101535271
WWTR1,3.3502589994822025
BCHE,3.350112526274987
STMN2,3.3476974947417775
REC8,3.345846272742384
VCAM1,3.3410198983187316
COL9A3,3.3398274009285966
GPC4,3.3326046970274006
HOXB7,3.3323362801512983
MATN2,3.331571363533319
COLEC12,3.3278016899538754
LURAP1L,3.3241285798352163
NCF4,3.3190336255078114
HHEX,3.3187513092694223
PLAC8,3.318554802894369
RRAS,3.3168036382473547
STEAP2,3.3120561592028923
CD82,3.3050221457610904
TCN1,3.3010258370585603
PTGS2,3.2943258152022277
NTS,3.293380968463606
MAP2,3.2931168162002313
TNFAIP6,3.2921882101276756
ECHDC3,3.2905164800717555
HMCN1,3.289490178914287
ENC1,3.2855620797081597
PROSER2,3.279670311863711
RAB33A,3.2792925239247284
PRKD1,3.2764171721684603
FHL1,3.275365193424297
LRRC17,3.2734586364427534
CTSL2,3.268534914957631
SLIT2,3.267086666152237
HERC5,3.2593913967071724
FERMT2,3.255399314644713
ANK3,3.254818271196895
C12orf75,3.253228394381407
RASEF,3.2529274911045696
CYB5R2,3.2526429660024085
ADCY1,3.2478980118013534
COL4A5,3.2438788345719916
ADA,3.2434566232005992
SIK1,3.241876334179526
CD48,3.2407901747310954
PRR15,3.240390040588975
TRIM22,3.2392111940958785
HEPACAM2,3.235255015357112
NR2F2,3.2317868195701567
SERTAD4,3.231178406370592
CKAP4,3.2252029007801406
TES,3.2207431369256962
IFIT3,3.2200154508995316
ALDH3A1,3.219859792808995
SOWAHC,3.217816024508707
NELL2,3.2168343198036187
RAB20,3.2081509075240535
GLI3,3.205383213644781
MEF2C,3.202178547317861
PABPC4L,3.1990756881469173
CTSS,3.194769202486183
GATA6,3.1912802679872745
HSD17B2,3.1910117995374936
CAPN2,3.1893796596055193
ZNF83,3.188758047481417
ZEB1,3.1837991790298674
