target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
EEF1A1,-0.3727119498234041,-0.3715165921289735,-0.0405810451546967,-0.0305930110659839,-0.0879100144907975,-0.0305930110659839,False,False,False,False,False,False,False
EEF2,-0.2690444655375756,-0.268617065601187,0.0604356058982616,0.0357915373190012,-0.010223291583693,0.0357915373190012,False,False,True,False,False,False,False
EFR3A,-0.2566669530154124,-0.2561706647092343,0.312058785908227,0.5053976131907258,0.4572838584714594,0.5053976131907258,True,True,True,True,True,True,True
EIF1AX,-0.2617622239812449,-0.261273295715665,0.0311741863555132,0.0521558419395228,0.0003696923463588,0.0521558419395228,False,False,False,False,False,False,False
EIF4A1,-0.2770398989394993,-0.2762949108307094,0.15179207655559,0.2208849136567539,0.1770558086537403,0.2208849136567539,True,True,True,True,True,True,True
ELL,-0.2780684379187141,-0.2776216266834375,0.1424113697535111,0.2027979580293045,0.1640716052011794,0.2027979580293045,True,True,True,True,True,True,True
EMC3,-0.2888614245719319,-0.2887773131539967,0.1373483761961537,0.2267999076855466,0.2124646667121425,0.2267999076855466,True,True,True,True,True,True,True
EP300,-0.2566545521064869,-0.2561239245493947,0.1552914619430231,0.3086400563489971,0.2529398680957483,0.3086400563489971,True,True,True,True,True,True,True
ESPL1,-0.2783825980142005,-0.277751757370006,0.0542449723327527,0.0765410331046059,0.0125142579067405,0.0765410331046059,True,False,False,True,False,True,False
FAM50A,-0.2613909506087085,-0.2609481659611097,0.1314761197849575,0.2457460535882199,0.1758353292621329,0.2457460535882199,True,True,True,True,True,True,True
FARSB,-0.2615915617668836,-0.261324858983667,0.0162333984829878,0.0232854862934319,-0.0253051334440602,0.0232854862934319,False,False,False,False,False,False,False
FAU,-0.2549656405948171,-0.2544891547743453,0.0381846612996343,0.0512107868204703,0.0112552910295492,0.0512107868204703,False,False,False,False,False,False,False
FERMT2,-0.2941405900227398,-0.2939209393769377,0.3236618854916403,0.4868610688507158,0.45474523654917,0.4868610688507158,True,True,True,True,True,True,True
GGPS1,-0.2504231239852454,-0.2499735054759767,0.1530135424646974,0.2017911083734883,0.1581892054568635,0.2017911083734883,True,True,True,True,True,True,True
GINS2,-0.2720136637315112,-0.2716171252362644,0.0797066559467749,0.1217198590138429,0.0780811103996086,0.1217198590138429,True,True,True,True,True,True,True
GMPS,-0.2731371713334349,-0.2722243910732074,0.1699308315656137,0.2945494684446079,0.2661445400911466,0.2945494684446079,True,True,True,True,True,True,True
GPN2,-0.2571039616809553,-0.2563106518720826,-0.0072732702230343,0.0408995997342598,-0.0065148930654367,0.0408995997342598,False,False,False,False,False,False,False
GPX4,-0.2888346917829127,-0.288522515333066,0.1072687089954258,0.2031186888160787,0.1432745777486979,0.2031186888160787,True,True,True,True,True,True,True
GRB2,-0.2672144254533963,-0.266743645287203,0.1895833784691537,0.2999048299256254,0.2297958004757661,0.2999048299256254,True,True,True,True,True,True,True
GSPT1,-0.2630438479410184,-0.2626790943212018,0.0870747115635459,0.1262749566576485,0.0576999457383776,0.1262749566576485,True,True,True,True,True,True,True
GTPBP4,-0.2659009426926651,-0.2652497670834673,0.0396881905568385,0.0395943360516547,-0.011413104174914,0.0395943360516547,False,False,False,False,False,False,False
GUK1,-0.2791634852202694,-0.2790455499436048,0.0979103940812975,0.1741710330862462,0.187104549839845,0.1741710330862462,True,True,True,True,True,True,True
H2BC15,-0.2578465803820466,-0.2575876061403765,0.0329644661713172,0.0522833557741337,-0.0106924516583036,0.0522833557741337,False,False,False,False,False,False,False
HMGCS1,-0.2870213946424841,-0.2865327464576807,0.0323049212688186,0.0742325141765578,0.0613128434638617,0.0742325141765578,True,True,False,True,True,True,False
HNF1B,-0.2889384339113741,-0.288164356205574,0.4322826056282922,0.5886904529108369,0.5498025848765731,0.5886904529108369,True,True,True,True,True,True,True
HNRNPH1,-0.2536082535921827,-0.2529789428374805,0.145964222807908,0.2547398902417909,0.2356307985450823,0.2547398902417909,True,True,True,True,True,True,True
INTS6,-0.293685915374989,-0.293298895118066,0.1089956999557203,0.1730293479533606,0.0952091641428234,0.1730293479533606,True,True,True,True,True,True,True
ITGAV,-0.262483768325741,-0.2620369247763882,0.4150913049931969,0.5388725160548617,0.5295977593797984,0.5388725160548617,True,True,True,True,True,True,True
KEAP1,-0.2848005114362892,-0.2844625309922855,0.1261630498225729,0.2493686999326564,0.1815002683063503,0.2493686999326564,True,True,True,True,True,True,True
