dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
ctrpv2,2,Aacocf3,dann,624,22,616,0.1296825655857088,0.1296825655857088,0.17997671913712998,0.17997671913712998
ctrpv2,2,Aacocf3,adae,624,22,616,0.14190762540514035,0.14190762540514035,0.20854498904894192,0.20854498904894192
ctrpv2,2,Afatinib,baseline,690,23,678,-0.26468297866128654,-0.26468297866128654,,
ctrpv2,2,Afatinib,marginal,690,23,678,0.27949918113434197,0.27949918113434197,0.30770331146275803,0.30770331146275803
ctrpv2,2,Afatinib,residualized,690,23,678,0.23195680271516364,0.14507107304633762,0.24678561297564944,0.24678561297564944
ctrpv2,2,Afatinib,irm,690,23,678,0.2563816491465079,0.2563816491465079,0.27440360159819377,0.27440360159819377
ctrpv2,2,Afatinib,dann,690,23,678,0.26476353737613123,0.26476353737613123,0.27881048778942236,0.27881048778942236
ctrpv2,2,Afatinib,adae,690,23,678,0.2777947395565644,0.2777947395565644,0.2985615115256719,0.2985615115256719
ctrpv2,2,Alisertib,baseline,492,22,478,-0.3352432492112498,-0.3352432492112498,,
ctrpv2,2,Alisertib,marginal,492,22,478,0.37299504674224804,0.37299504674224804,0.4078454266470903,0.4078454266470903
ctrpv2,2,Alisertib,residualized,492,22,478,0.35332141269299566,0.2852823452603292,0.3723233914683667,0.3723233914683667
ctrpv2,2,Alisertib,irm,492,22,478,0.3020725427122424,0.3020725427122424,0.371261915285576,0.371261915285576
ctrpv2,2,Alisertib,dann,492,22,478,0.35747554391987346,0.35747554391987346,0.39320419375627697,0.39320419375627697
ctrpv2,2,Alisertib,adae,492,22,478,0.32565477643050056,0.32565477643050056,0.38136892887878443,0.38136892887878443
ctrpv2,2,Alpelisib,baseline,444,22,425,-0.39109692863176354,-0.39109692863176354,,
ctrpv2,2,Alpelisib,marginal,444,22,425,0.10019720281165177,0.10019720281165177,0.12986698545864445,0.12986698545864445
ctrpv2,2,Alpelisib,residualized,444,22,425,0.1560525506362595,0.03722212219251189,0.16107604046422677,0.16107604046422677
ctrpv2,2,Alpelisib,irm,444,22,425,0.12253817558900945,0.12253817558900945,0.1354491415081121,0.1354491415081121
ctrpv2,2,Alpelisib,dann,444,22,425,0.11169690478396237,0.11169690478396237,0.14004707255907906,0.14004707255907906
ctrpv2,2,Alpelisib,adae,444,22,425,0.1390941136408984,0.1390941136408984,0.16939999374409875,0.16939999374409875
ctrpv2,2,Axitinib,baseline,535,23,520,-0.41096259597071133,-0.41096259597071133,,
ctrpv2,2,Axitinib,marginal,535,23,520,0.32380856870899244,0.32380856870899244,0.35813799361783355,0.35813799361783355
ctrpv2,2,Axitinib,residualized,535,23,520,0.2668177657547554,0.14465416747641982,0.25714508769668565,0.25714508769668565
ctrpv2,2,Axitinib,irm,535,23,520,0.2906003664192864,0.2906003664192864,0.303686455125843,0.303686455125843
ctrpv2,2,Axitinib,dann,535,23,520,0.3116142146473993,0.3116142146473993,0.3072294433683146,0.3072294433683146
ctrpv2,2,Axitinib,adae,535,23,520,0.32352884867314846,0.32352884867314846,0.35322531876040236,0.35322531876040236
ctrpv2,2,Azacitidine,baseline,427,23,405,-0.35933018766780245,-0.35933018766780245,,
ctrpv2,2,Azacitidine,marginal,427,23,405,0.04370688887793237,0.04370688887793237,0.07766690215901507,0.07766690215901507
ctrpv2,2,Azacitidine,residualized,427,23,405,0.02456714772513719,-0.14895411587906887,0.035244498295090354,0.03524449829509035
ctrpv2,2,Azacitidine,irm,427,23,405,0.02074762476231159,0.02074762476231159,0.013830398615435505,0.013830398615435505
ctrpv2,2,Azacitidine,dann,427,23,405,0.049822175949172494,0.049822175949172494,0.06507093519461836,0.06507093519461836
ctrpv2,2,Azacitidine,adae,427,23,405,0.042832205479175274,0.042832205479175274,0.057307675478822824,0.057307675478822824
ctrpv2,2,B02,baseline,529,23,513,-0.36143883040605557,-0.36143883040605557,,
ctrpv2,2,B02,marginal,529,23,513,0.17331846411606358,0.17331846411606358,0.22192423558713067,0.22192423558713067
ctrpv2,2,B02,residualized,529,23,513,0.1931158129000849,0.10975017740973769,0.23450637384058665,0.23450637384058662
ctrpv2,2,B02,irm,529,23,513,0.03227184802483544,0.03227184802483544,0.04614813776351415,0.04614813776351415
ctrpv2,2,B02,dann,529,23,513,0.11738558083740513,0.11738558083740513,0.16320689032015423,0.16320689032015423
ctrpv2,2,B02,adae,529,23,513,0.23017942629411223,0.23017942629411223,0.2793237360772422,0.2793237360772422
ctrpv2,2,BI-2536,baseline,750,23,737,-0.30869555740169163,-0.30869555740169163,,
ctrpv2,2,BI-2536,marginal,750,23,737,0.4162517108527815,0.4162517108527815,0.44996700759502034,0.44996700759502034
ctrpv2,2,BI-2536,residualized,750,23,737,0.4422636650940706,0.4029661630117847,0.43684119017096723,0.43684119017096723
ctrpv2,2,BI-2536,irm,750,23,737,0.36569927391052476,0.36569927391052476,0.378895924384951,0.378895924384951
ctrpv2,2,BI-2536,dann,750,23,737,0.41924807502109934,0.41924807502109934,0.4489890615084947,0.4489890615084947
ctrpv2,2,BI-2536,adae,750,23,737,0.40231989437255006,0.40231989437255006,0.4364261703786394,0.4364261703786394
ctrpv2,2,BIBR-1532,baseline,400,22,379,-0.3744020019073631,-0.3744020019073631,,
ctrpv2,2,BIBR-1532,marginal,400,22,379,0.114388074349453,0.114388074349453,0.16599959877127296,0.16599959877127296
ctrpv2,2,BIBR-1532,residualized,400,22,379,0.2801997292962041,0.1769049948303041,0.29442606346759537,0.2944260634675953
ctrpv2,2,BIBR-1532,irm,400,22,379,0.1225189937530688,0.1225189937530688,0.1143227500541194,0.1143227500541194
ctrpv2,2,BIBR-1532,dann,400,22,379,0.08649623637092767,0.08649623637092767,0.10769311033427012,0.10769311033427012
ctrpv2,2,BIBR-1532,adae,400,22,379,0.24593633387620076,0.24593633387620076,0.2771834515809756,0.2771834515809756
ctrpv2,2,BIX-01294,baseline,758,23,749,-0.28170181661380367,-0.28170181661380367,,
