dataset,seed,item,method,mse,wt_mse,mse_noaddback
ctrpv2,4,ML050,residualized,0.45063977323962257,0.4020797695297377,17.967514617997782
ctrpv2,4,ML050,irm,1.1853236441155095,0.8489122382273513,1.1853236441155095
ctrpv2,4,ML162,baseline,2.788263197233679,2.786447315151179,2.788263197233679
ctrpv2,4,ML162,marginal,2.590757219884725,2.504496562280208,2.590757219884725
ctrpv2,4,ML162,residualized,2.6985122256278413,2.53931131919857,3.5176729912885123
ctrpv2,4,ML162,irm,2.996316441445106,2.590683234094054,2.996316441445106
ctrpv2,4,ML203,baseline,0.8805889223396788,0.8443357180724809,0.8805889223396788
ctrpv2,4,ML203,marginal,1.8163564055420227,1.4034058971032115,1.8163564055420227
ctrpv2,4,ML203,residualized,0.8290319449854314,0.6635244629451826,17.962311535989574
ctrpv2,4,ML203,irm,2.566739673653356,1.4023732704273089,2.566739673653356
ctrpv2,4,ML210,baseline,3.861527985948411,3.8577214608939774,3.861527985948411
ctrpv2,4,ML210,marginal,3.745165287867977,3.6193777697861,3.745165287867977
ctrpv2,4,ML210,residualized,3.6688401077949027,3.4158512536124874,4.864319265692967
