dataset,seed,item,method,n_cells,n_tissues,pearson,wt_pearson,wt_pearson_recon
depmap,3,TXNL4A,residualized,1076,29,0.018433430273025013,-0.020192817915407942,-0.11465418427806133
depmap,3,TXNL4A,irm,1076,29,0.03176869339400505,0.00774333444016527,0.00774333444016527
depmap,3,TXNRD1,baseline,1076,29,0.34574813729120163,-0.2598299402321867,-0.2598299402321867
depmap,3,TXNRD1,marginal,1076,29,0.4495809592104743,0.3168538143218664,0.3168538143218664
depmap,3,TXNRD1,residualized,1076,29,0.44744937848183985,0.31004592877519666,0.26075060707340764
depmap,3,TXNRD1,irm,1076,29,0.3538496417866294,0.24955178450199636,0.24955178450199636
depmap,3,TYMS,baseline,1076,29,0.27617772496116194,-0.2257776084549024,-0.2257776084549024
depmap,3,TYMS,marginal,1076,29,0.40711079888837315,0.3199512661118647,0.3199512661118647
depmap,3,TYMS,residualized,1076,29,0.38732069147333575,0.2918947151323283,0.2491969690424199
depmap,3,TYMS,irm,1076,29,0.20778552336252235,0.1328185063698952,0.1328185063698952
depmap,3,UBE2D3,baseline,1076,29,0.12956305347402564,-0.2783631206338356,-0.2783631206338356
depmap,3,UBE2D3,marginal,1076,29,0.3261272547025979,0.2757625397144664,0.2757625397144664
depmap,3,UBE2D3,residualized,1076,29,0.3767239233628659,0.3625998700374874,0.3152756808802456
depmap,3,UBE2D3,irm,1076,29,0.2603315190005152,0.24675635913253585,0.24675635913253585
depmap,3,UBE2M,baseline,1076,29,0.12954323992715128,-0.2555237151894893,-0.2555237151894893
depmap,3,UBE2M,marginal,1076,29,0.19316869917968532,0.14883834568048848,0.14883834568048848
depmap,3,UBE2M,residualized,1076,29,0.20378474194924368,0.15769997746426181,0.10821838055412068
depmap,3,UBE2M,irm,1076,29,0.14126232483467985,0.0960338312990706,0.0960338312990706
depmap,3,UBE2N,baseline,1076,29,0.22991849534315123,-0.30625034819748537,-0.30625034819748537
depmap,3,UBE2N,marginal,1076,29,0.3122295380672593,0.22488685913242196,0.22488685913242196
depmap,3,UBE2N,residualized,1076,29,0.34258637926558355,0.26981487127128917,0.20228056269651012
depmap,3,UBE2N,irm,1076,29,0.24945096331052755,0.18903005331744144,0.18903005331744144
depmap,3,UBR4,baseline,1076,29,0.40947527072892975,-0.2635380436946297,-0.2635380436946297
depmap,3,UBR4,marginal,1076,29,0.41234293643215336,0.22617954384634903,0.22617954384634903
depmap,3,UBR4,residualized,1076,29,0.4384331924169491,0.2092234340035076,0.14847489015608886
depmap,3,UBR4,irm,1076,29,0.26840852124807485,0.10792757571419148,0.10792757571419148
depmap,3,UMPS,baseline,1076,29,0.5057560667617172,-0.23947742639904715,-0.23947742639904715
depmap,3,UMPS,marginal,1076,29,0.5229709135664184,0.2379845296020806,0.2379845296020806
depmap,3,UMPS,residualized,1076,29,0.5321826321564,0.22709603543712958,0.1814401246413418
depmap,3,UMPS,irm,1076,29,0.22677639403260447,0.046226402624727214,0.046226402624727214
depmap,3,UROD,baseline,1076,29,0.38909724630620135,-0.24110785611702934,-0.24110785611702934
depmap,3,UROD,marginal,1076,29,0.4285774162109793,0.23551656451721906,0.23551656451721906
depmap,3,UROD,residualized,1076,29,0.4642886397016005,0.27930364299460425,0.24022053505890917
depmap,3,UROD,irm,1076,29,0.29352041372515547,0.18200687950763778,0.18200687950763778
depmap,3,USP7,baseline,1076,29,0.21360504289869947,-0.27135534578400905,-0.27135534578400905
depmap,3,USP7,marginal,1076,29,0.3900660286949505,0.316957188857291,0.316957188857291
depmap,3,USP7,residualized,1076,29,0.40356169186013535,0.35254885013838333,0.29589151568171157
depmap,3,USP7,irm,1076,29,0.29109458635738783,0.23578157226030438,0.23578157226030438
depmap,3,UTP4,baseline,1076,29,0.16850423677881735,-0.2616643107685112,-0.2616643107685112
depmap,3,UTP4,marginal,1076,29,0.1920282499667685,0.14217709215128826,0.14217709215128826
depmap,3,UTP4,residualized,1076,29,0.26067935041454443,0.2162782119855684,0.16323359294388307
depmap,3,UTP4,irm,1076,29,0.08134728420330666,0.0659784401743417,0.0659784401743417
depmap,3,VPS25,baseline,1076,29,0.11541945162470593,-0.23545471351055822,-0.23545471351055822
depmap,3,VPS25,marginal,1076,29,0.0857797517487159,0.04421418755462905,0.04421418755462905
depmap,3,VPS25,residualized,1076,29,0.15861020435472836,0.11374145287869647,0.06513349695320073
depmap,3,VPS25,irm,1076,29,0.06267525914613278,0.02315435953147672,0.02315435953147672
depmap,3,WDR1,baseline,1076,29,0.16843856890201248,-0.23687939808921882,-0.23687939808921882
depmap,3,WDR1,marginal,1076,29,0.4623585495887713,0.42883209929240457,0.42883209929240457
depmap,3,WDR1,residualized,1076,29,0.4416194065331823,0.4149144226837861,0.3865202167926831
depmap,3,WDR1,irm,1076,29,0.2229388001023086,0.20253228332605774,0.20253228332605774
depmap,3,WDR73,baseline,1076,29,0.18504814339153014,-0.2573943659522063,-0.2573943659522063
depmap,3,WDR73,marginal,1076,29,0.2949202950490942,0.21500622327972171,0.21500622327972171
depmap,3,WDR73,residualized,1076,29,0.27251373038919846,0.19850071671403885,0.13055101009922684
depmap,3,WDR73,irm,1076,29,0.10641561809275316,0.06774187924222996,0.06774187924222996
depmap,3,WDR77,baseline,1076,29,0.2655399501959876,-0.2537815727459718,-0.2537815727459718
depmap,3,WDR77,marginal,1076,29,0.27150362895890623,0.1665903538791817,0.1665903538791817
depmap,3,WDR77,residualized,1076,29,0.3207108164709225,0.19992420166879638,0.12879201577895236
depmap,3,WDR77,irm,1076,29,0.17297579615040945,0.08816352682837528,0.08816352682837528
depmap,3,WDR82,baseline,1076,29,0.22507104776265163,-0.2687765061271951,-0.2687765061271951
depmap,3,WDR82,marginal,1076,29,0.26329474679632653,0.1604981195518052,0.1604981195518052
depmap,3,WDR82,residualized,1076,29,0.2506195456445198,0.14465374437356282,0.06993504266315431
depmap,3,WDR82,irm,1076,29,0.19366385420963295,0.12470679329399444,0.12470679329399444
depmap,3,WEE1,baseline,1076,29,0.11317950874022288,-0.2815868367022093,-0.2815868367022093
depmap,3,WEE1,marginal,1076,29,0.0594413153722194,0.0281428691338565,0.0281428691338565
depmap,3,WEE1,residualized,1076,29,0.16151465802006293,0.12250957842921999,0.05935981523156718
depmap,3,WEE1,irm,1076,29,0.034655698614554274,0.01046392700199518,0.01046392700199518
depmap,3,WNK1,baseline,1076,29,0.41077474255064567,-0.2176762722849868,-0.2176762722849868
